index,physiological_measures,perception_quality,rating,quality_life,inequality,productivity,quality,policy_performance,measurement,performance_buildings,measure,comparison,evaluation,swb_measures,performancebased,resilient_performance,assessment,performance,indicator,sleep_quality
green_building,0.1506875604391098,0.2179249674081802,0.2430055290460586,0.1047447174787521,0.1651190817356109,0.0933840945363044,0.0666024461388588,0.1427752077579498,0.1749659478664398,0.093679241836071,0.1157073378562927,0.1388081759214401,0.115420714020729,0.087613858282566,0.1585390120744705,0.1848616451025009,0.1862031668424606,0.2603446245193481,0.2346750795841217,
indoor_environmental,0.1737736314535141,0.1240670904517173,0.2356201708316803,0.1572866141796112,0.1592221558094024,0.1095118224620819,0.0985626652836799,0.0697046369314193,0.1318341791629791,0.1407923996448516,0.1670570224523544,0.1003373339772224,0.0829261466860771,0.2306171357631683,0.2270861864089965,0.1243856251239776,0.0587935894727706,0.0710093677043914,0.1107657328248024,0.2316669970750808
green_buildings,0.1506875604391098,0.2179249674081802,0.2430055290460586,0.1529486179351806,0.1651190817356109,0.0933840945363044,0.0666024461388588,0.1427752077579498,0.1749659478664398,0.093679241836071,0.1157073378562927,0.1388081759214401,0.115420714020729,0.1100634112954139,0.1585390120744705,0.1848616451025009,0.1862031668424606,0.2603446245193481,0.2346750795841217,0.0959188640117645
environment,0.0993821769952774,0.0579447895288467,0.1106580272316932,0.1572866141796112,0.1456861943006515,,,0.0689281374216079,0.1161268576979637,,0.1205882877111435,0.0603075735270977,,0.2306171357631683,0.10289316624403,,0.0587935894727706,,0.1107657328248024,
greenstar,0.0839789733290672,0.1972172260284423,0.070541501045227,0.1215058863162994,0.1651190817356109,0.0933840945363044,0.0666024461388588,,,0.0774744823575019,,0.0742830708622932,0.1102091744542121,0.1046902909874916,,0.1837136298418045,0.1181848645210266,,0.0792274177074432,0.1576636582612991
physical_environment,0.0993821769952774,0.0579447895288467,0.1106580272316932,0.1572866141796112,0.1456861943006515,,0.2310450822114944,0.1344802379608154,0.1161268576979637,,0.1205882877111435,0.0631641149520874,0.1102091744542121,0.2306171357631683,0.10289316624403,0.1454546898603439,0.1014228984713554,,0.1759560108184814,0.1354598850011825
air_quality,,0.0844699665904045,0.2430055290460586,0.1635843217372894,0.0588730163872242,0.1866672486066818,0.0946032032370567,0.1352120041847229,0.1749659478664398,,0.1140052750706672,0.1064304187893867,,0.1686687469482422,0.1585390120744705,,0.0826861411333084,0.0720006003975868,,0.0996765345335006
energy,,,,,,,,,,,,,0.0870656967163086,,,,,,,
environmental,0.0993821769952774,0.0579447895288467,0.1106580272316932,0.1572866141796112,0.1456861943006515,,,0.0697046369314193,0.1161268576979637,0.0774739235639572,0.1670570224523544,0.0603075735270977,0.0829261466860771,0.2306171357631683,0.2270861864089965,0.1243856251239776,0.0587935894727706,0.0710093677043914,0.1107657328248024,
ventilation,,,0.0502018555998802,,,,0.0906275436282157,,0.0880897119641304,,,0.075790598988533,0.1168631240725517,0.1343541741371154,,0.1993902772665023,,,,0.08152836561203
