index,internal_well,psychological_wellbeing,psychological_health,geriatric_depression,mental_well,determinants_depression,depression_anxiety,residents_mental,individual_mental,mental_disorder,mental_restoration,psychophysiological_wellbeing,mental_health,health_crisis,well,human_health,mood_disturbance,health,psychological_well,mood,health_promotion,mental_functioning,mental_illness,social_health,impact_mental,person_mental,subjective_well,personal_well,neuropsychological,mental_wellbeing,depression,poor_mental,emotional_well,subjective_wellbeing,psychological_restoration,wellbeing,psychological_demands,mental,high_depression,hedonic_well,feel_healthy,illness,health_promoting,psychological,mental_hrqol,psychology,positive_mental,healthy
green_building,0.1650219857692718,0.1260292083024978,0.0750235989689827,0.2209021002054214,0.1932180821895599,0.1644944995641708,0.0892445817589759,0.1062641143798828,0.1719493418931961,0.1168761998414993,0.1163051798939704,,0.1829804331064224,0.1839671581983566,0.1412682682275772,,0.1134111955761909,0.1865954101085662,0.1387261748313903,0.0901984795928001,0.0560581721365451,0.0758848264813423,0.0892394483089447,0.0805482119321823,0.1014762222766876,0.1816436201333999,0.1343717128038406,0.2396816462278366,0.0659910067915916,0.2443999797105789,0.0914409831166267,,0.0926350504159927,0.1470589339733123,0.1523707062005996,0.2207186967134475,0.2321109622716903,0.1293653547763824,0.2588120400905609,0.0943637862801551,0.0922596305608749,0.1700323969125747,0.1768473237752914,,0.1446708589792251,0.2223439961671829,0.2017066478729248,
indoor_environmental,0.1058615893125534,0.0695786699652671,,0.233266070485115,0.0519856698811054,0.118518978357315,0.1733989268541336,0.0600310824811458,0.07858607172966,0.0549909807741642,,0.0536850467324256,0.130395621061325,,0.1825092732906341,0.1886676847934723,0.1768213957548141,,0.2403825968503952,0.0997028276324272,0.2461036741733551,0.1609662771224975,0.1497043669223785,0.1067767590284347,0.085149310529232,0.1803647428750991,0.1639443039894104,0.1510895937681198,0.1301295608282089,0.128261849284172,0.0682427585124969,0.0933381766080856,0.1733047813177108,0.0668079331517219,,0.1505260616540908,0.153929978609085,0.0701417848467826,0.1168770864605903,0.0674380287528038,0.1284351944923401,0.0857503116130828,0.1108947098255157,0.0811118558049202,0.1228411346673965,0.1210448592901229,0.2015935778617859,0.1011794209480285
green_buildings,0.1650219857692718,0.1260292083024978,0.0750235989689827,0.2209021002054214,0.1932180821895599,0.1644944995641708,0.2669204771518707,0.1062641143798828,0.1719493418931961,0.1168761998414993,0.1163051798939704,,0.1829804331064224,0.1839671581983566,0.1702691465616226,,0.1134111955761909,0.1865954101085662,0.1387261748313903,0.0901984795928001,0.0829359143972396,0.0758848264813423,0.2003575563430786,0.1423386484384536,0.1277174949645996,0.2125304937362671,0.1343717128038406,0.2396816462278366,0.0659910067915916,0.2443999797105789,0.1647289991378784,0.0790859907865524,0.0926350504159927,0.1470589339733123,0.1523707062005996,0.2207186967134475,0.2321109622716903,0.1293653547763824,0.2588120400905609,0.0943637862801551,0.1478232741355896,0.1700323969125747,0.1768473237752914,0.1702329963445663,0.176881656050682,0.2223439961671829,0.2017066478729248,
environment,,,,0.233266070485115,,0.06600983440876,,,0.07858607172966,,,0.0536850467324256,0.130395621061325,,0.1825092732906341,0.1886676847934723,0.1768213957548141,,0.082933560013771,0.0997028276324272,0.2461036741733551,0.1222894638776779,0.1497043669223785,0.1044141203165054,,0.1803647428750991,0.1639443039894104,,,0.128261849284172,0.0614658221602439,0.0660371482372284,0.1733047813177108,0.0668079331517219,,0.1363238841295242,0.12703438103199,0.0701417848467826,,,0.1284351944923401,,,0.0795071944594383,0.0828137844800949,,0.2015935778617859,0.1011794209480285
greenstar,0.1309002190828323,,,0.0538876801729202,,,0.1856610924005508,0.1062641143798828,,0.1091867312788963,0.0580448471009731,,,0.0739605352282524,0.1702691465616226,,0.0727462992072105,,0.0567565225064754,,0.1064759716391563,0.0593469925224781,0.1157271191477775,0.1378476023674011,0.1277174949645996,0.1816436201333999,0.0579376108944416,0.1301982402801513,0.0954412445425987,0.237972617149353,0.1647289991378784,0.0790859907865524,0.1253052800893783,0.1240828707814216,,0.091625802218914,0.1907189637422561,0.1196407079696655,0.1094127669930458,0.0827400684356689,0.1051338016986846,0.1700323969125747,0.1768473237752914,,0.0758113041520118,0.1246513128280639,0.1144429817795753,
physical_environment,0.0695574507117271,0.0972433239221572,,0.233266070485115,0.1178164705634117,0.06600983440876,0.1025391668081283,0.0842418074607849,0.1195889487862587,0.1435739696025848,,0.0999068841338157,0.1472781598567962,0.0739605352282524,0.1825092732906341,0.1886676847934723,0.1768213957548141,0.2045214921236038,0.1234315931797027,0.0997028276324272,0.2461036741733551,0.1222894638776779,0.1497043669223785,0.1959767937660217,0.1277174949645996,0.1803647428750991,0.1639443039894104,0.1301982402801513,0.1524034887552261,0.2363138794898986,0.1762471497058868,0.0790859907865524,0.1733047813177108,0.1093756854534149,,0.1363238841295242,0.1818638890981674,0.1080056503415107,0.1225049346685409,0.0706058517098426,0.1284351944923401,0.0589403882622718,0.0922285094857215,0.098120093345642,0.0961058959364891,0.092516042292118,0.2015935778617859,0.1011794209480285
air_quality,0.2005095481872558,0.0548803210258483,0.0834230706095695,,0.1932180821895599,0.1644944995641708,,0.0957289189100265,,0.1973315775394439,0.1021838262677192,0.0953672304749488,0.1794099062681198,0.117456242442131,0.1412682682275772,,,0.070383682847023,0.0917639285326004,0.0761364698410034,0.2509303390979767,0.1954230517148971,0.2135391533374786,0.0844325646758079,0.0965146124362945,0.0581133812665939,0.1343717128038406,0.1475575417280197,,0.0981783866882324,0.094726413488388,0.1713499873876571,,0.1705292314291,0.1334101408720016,0.1381975412368774,0.063710980117321,0.1293653547763824,0.1542608439922332,0.084034152328968,0.0993632450699806,0.1709483116865158,0.0547276735305786,,,0.0841925963759422,0.0813004374504089,0.121080107986927
energy,,0.1987538486719131,,0.093270368874073,0.0651883780956268,0.1898920238018036,,,,,0.1984636932611465,,0.1322050541639328,0.1236562579870224,,0.1012874245643615,,0.0862803682684898,,,,,,,,,,0.1123158633708953,,,0.1714001297950744,,,0.1792141944169998,,,,0.1148184686899185,,,,,,0.057136308401823,,,,
environmental,,0.0695786699652671,,0.233266070485115,0.0519856698811054,0.06600983440876,0.1733989268541336,,0.07858607172966,,,0.0536850467324256,0.130395621061325,,0.1825092732906341,0.1886676847934723,0.1768213957548141,,0.2403825968503952,0.0997028276324272,0.2461036741733551,0.1222894638776779,0.1497043669223785,0.1044141203165054,,0.1803647428750991,0.1639443039894104,,0.1301295608282089,0.128261849284172,0.0682427585124969,0.0933381766080856,0.1733047813177108,0.0668079331517219,,0.1363238841295242,0.153929978609085,0.0701417848467826,0.1039884313941001,,0.1284351944923401,,,0.0795071944594383,0.0828137844800949,,0.2015935778617859,0.1011794209480285
ventilation,,0.1594383418560028,,,,,,,,,,,,0.0885651782155036,,,,,,,0.120283804833889,,,,,,,,,,,0.0510870330035686,0.1005911827087402,0.22517029941082,0.1165362372994422,,0.053151786327362,,0.0906814932823181,,,,,,,,,0.0734896138310432
fresh_air,,,,,0.1390145123004913,0.1103735491633415,0.0882713869214057,,,0.1150304898619651,0.1137315481901168,0.1169363781809806,0.1794099062681198,0.2085520327091217,0.1702691465616226,0.131751999258995,0.1748475432395935,0.070383682847023,0.0917639285326004,0.1511056721210479,0.2509303390979767,0.0685320794582367,0.0661064684391021,0.0619072839617729,0.1277174949645996,0.0918100774288177,0.0924597382545471,0.1301982402801513,,,0.1647289991378784,0.1705892086029052,0.0585746839642524,0.0551486834883689,0.1215434521436691,0.1364014148712158,0.1290142834186554,,,0.084034152328968,0.1544166803359985,,0.1169175878167152,0.0929140150547027,0.0795580670237541,,0.1845478564500808,
