index,environmental_variables,campus_environments,stagnant_air,pollution,environmental_factors,environmental_exposures,environment_assessments,environment_specific,environment_features,environment_characteristics,overall_environmental,urban_vegetation,greenery,environment_airports,view_green,retail_environment,streetscape_greenness,related_air,green_avenues,green_spaces,restorative_environment,road_environment,green_buildings,vegetation_coverage,vegetation,natural_environments,environment,environment_factors,green_infrastructure,physical_environment,environmental_degradation,historic_environments,living_environment,greenery_sky,environment_design,air,green_interventions,green_modern,air_pollution,green_space,green_areas,fresh_air,technological_environmental,ventilation,greenstar,greenspace,natural_environmental,microclimate_environments,environment_physical,environment_swb,pollution_data,green_exposure,humidity,personal_environmental,green_coverage,human_environmental,landscape,greener,environmental_category,landscape_design,work_environment,environmental_aesthetics,environmental,energy,restorative_environments,therapeutic_landscape,green_building,exercise_environment,social_environment,natural_environment,climate,environment_work,greenspaces,natural_green,different_environments,exposure_green,environment_elements,environmental_stressors,human_environment,environment_aspects,campus_environment,sunlight,environment_variables,environment_semi,technologicalenvironmental,microclimate,environment_relates,greenness,home_environment,indoor_environmental,air_quality,impact_green,green_environments
conventional_buildings,0.2336470037698745,0.1105969846248626,0.0885189771652221,0.1529708802700042,0.1643728166818618,0.0635287389159202,0.1639653146266937,0.3035127818584442,0.0719410255551338,0.0697069838643074,0.1706694513559341,0.2003266513347625,0.1796549558639526,0.2346561849117279,0.1338012665510177,0.2021083384752273,0.1512283086776733,0.1117593348026275,0.1557759046554565,,0.1594117730855941,0.1869078278541565,0.1719968765974044,0.1987128853797912,0.2443665564060211,0.0905125439167022,0.120237223803997,0.1746920049190521,0.1106485873460769,0.1091604530811309,0.0783126577734947,0.1101895272731781,0.206616923213005,0.0861462876200676,0.1096711158752441,0.296499490737915,0.1367500275373459,0.3317469358444214,0.0822416096925735,0.3215249180793762,0.1354570686817169,0.0732678398489952,0.1059652715921402,0.1769857406616211,0.1088306829333305,0.1721399277448654,0.0852695479989051,0.0814252272248268,0.1304367780685424,0.1259364336729049,0.2754307985305786,0.215888500213623,0.1871853321790695,0.2161662578582763,0.0863756984472274,0.1693719178438186,0.0629041418433189,,0.2656845450401306,0.0755939558148384,0.1499129682779312,0.1953551173210144,0.1991214603185653,0.2789840698242187,0.0878558829426765,0.1727497577667236,0.1999207586050033,,0.089579626917839,0.1219509094953537,0.0659174472093582,,0.1756492704153061,0.0843593403697013,0.0951703488826751,0.1015676707029342,0.1580847948789596,,0.1918649971485138,,0.0991449803113937,0.1183084398508071,0.097232274711132,0.0792725682258606,0.0646421313285827,0.1446675211191177,,0.2067911773920059,0.0830210372805595,0.1541743725538253,0.1271753907203674,0.1498842537403106,0.1144764199852943
building,0.2336470037698745,0.1043441519141197,0.0675547420978546,,,0.0635287389159202,0.1639653146266937,0.3035127818584442,,0.0697069838643074,0.0752747133374214,,0.1100528463721275,0.2346561849117279,0.057618360966444,0.2021083384752273,0.1512283086776733,0.1103729456663131,0.1557759046554565,,0.1594117730855941,0.1869078278541565,0.1719968765974044,0.1987128853797912,0.2081367969512939,0.0905125439167022,0.120237223803997,0.1619600653648376,0.1106485873460769,0.1091604530811309,0.0783126577734947,0.1101895272731781,0.1614829003810882,,0.0821570456027984,0.296499490737915,0.1367500275373459,0.1001740470528602,0.0822416096925735,0.3215249180793762,0.1020512878894805,0.0732678398489952,0.1059652715921402,0.1769857406616211,0.1088306829333305,0.0964630246162414,0.0852695479989051,,0.1304367780685424,0.1259364336729049,0.2754307985305786,0.215888500213623,0.1871853321790695,0.2161662578582763,0.0863756984472274,0.1693719178438186,,,0.2656845450401306,0.0755939558148384,0.1499129682779312,0.1953551173210144,0.1991214603185653,0.2789840698242187,,0.1727497577667236,0.1999207586050033,,0.089579626917839,0.1219509094953537,,,,0.0843593403697013,0.0951703488826751,,0.1580847948789596,,0.1918649971485138,,0.085597738623619,0.1183084398508071,0.097232274711132,0.0792725682258606,0.0646421313285827,0.1446675211191177,,0.2067911773920059,0.0685217231512069,0.1541743725538253,0.1271753907203674,0.1498842537403106,0.1144764199852943
building_occupants,0.2336470037698745,0.1046939194202423,0.0689261555671691,0.1529708802700042,0.1643728166818618,0.094858780503273,0.2186124771833419,0.3035127818584442,0.0719410255551338,0.0697069838643074,0.1706694513559341,0.0933597013354301,0.1100528463721275,0.2346561849117279,0.1338012665510177,0.2021083384752273,0.1512283086776733,0.1117593348026275,0.1557759046554565,,0.1594117730855941,0.1869078278541565,0.1719968765974044,0.1987128853797912,0.2081367969512939,0.0905125439167022,0.120237223803997,0.1746920049190521,0.1106485873460769,0.1091604530811309,0.1213492229580879,0.1101895272731781,0.206616923213005,,0.0821570456027984,0.296499490737915,0.1598455756902694,0.1001740470528602,0.0866546258330345,0.3215249180793762,0.1354570686817169,0.1266625672578811,0.1059652715921402,0.2243857383728027,0.1088306829333305,0.1721399277448654,0.090580016374588,0.0852369591593742,0.1304367780685424,0.1259364336729049,0.2754307985305786,0.215888500213623,0.1871853321790695,0.2161662578582763,0.0863756984472274,0.1693719178438186,0.1453491747379303,0.0942388027906417,0.2656845450401306,0.1062677875161171,0.1499129682779312,0.1953551173210144,0.1991214603185653,0.2789840698242187,,0.1727497577667236,0.1999207586050033,,0.089579626917839,0.1965642571449279,0.1619547754526138,0.0680533498525619,0.0743029192090034,0.2291643023490905,0.0951703488826751,0.2421071976423263,0.1580847948789596,0.1167903095483779,0.1918649971485138,0.0707578063011169,0.1530243456363678,0.1183084398508071,0.1636169403791427,0.0832179933786392,0.0921043679118156,0.1446675211191177,0.1359735131263733,0.2234270125627517,0.2260023057460785,0.2090828716754913,0.1662279963493347,0.1498842537403106,0.1144764199852943
occupant,0.0940245538949966,,,,0.0706653147935867,0.094858780503273,,,,,0.0577180944383144,,0.0755587443709373,0.1891156435012817,,0.160895437002182,,,0.0669525414705276,,0.0977793708443641,,,0.133084163069725,,,0.0998849421739578,0.1619600653648376,0.1106485873460769,0.1091604530811309,,,,,,0.08406812697649,0.1598455756902694,0.07328562438488,0.0866546258330345,,0.1350487619638443,0.1266625672578811,0.067156933248043,0.2243857383728027,0.1065431758761406,,,0.0852369591593742,0.1304367780685424,0.0666339471936225,0.261318564414978,0.215888500213623,,,,0.0690272748470306,0.0855920612812042,0.0942388027906417,0.2656845450401306,0.0899888053536415,0.1458194851875305,0.1953551173210144,0.0981460139155387,0.2789840698242187,,0.1727497577667236,0.1273400336503982,,,0.1965642571449279,0.1619547754526138,0.0629027262330055,,0.1451397836208343,0.077407993376255,,0.0701020136475563,0.1167903095483779,,0.0707578063011169,0.1530243456363678,,0.1636169403791427,,0.0921043679118156,0.1157829985022544,0.0990630462765693,0.2234270125627517,0.0950571522116661,0.1541743725538253,0.1662279963493347,0.1259569376707077,
building_design,0.2336470037698745,0.1046939194202423,0.0878528952598571,0.1529708802700042,0.1643728166818618,0.1960735470056533,0.1639653146266937,0.3035127818584442,0.1140412762761116,0.0697069838643074,0.2372796237468719,0.0933597013354301,0.1100528463721275,0.2346561849117279,0.1957713961601257,0.2021083384752273,0.1709860414266586,0.2552728950977325,0.1557759046554565,0.1236810088157653,0.1594117730855941,0.1869078278541565,0.1719968765974044,0.1987128853797912,0.2081367969512939,0.1748911589384079,0.120237223803997,0.1746920049190521,0.1106485873460769,0.1091604530811309,0.0913816839456558,0.144513800740242,0.206616923213005,0.0964916124939918,0.0993645191192627,0.296499490737915,0.1367500275373459,0.1001740470528602,0.0822416096925735,0.3215249180793762,0.1360247880220413,0.0944469198584556,0.1059652715921402,0.1769857406616211,0.1088306829333305,0.1721399277448654,0.2314876914024353,,0.1304367780685424,0.1259364336729049,0.2754307985305786,0.215888500213623,0.1871853321790695,0.2161662578582763,0.0863756984472274,0.1693719178438186,,,0.2656845450401306,0.0755939558148384,0.1499129682779312,0.1953551173210144,0.1991214603185653,0.2789840698242187,,0.1727497577667236,0.1999207586050033,0.1591614335775375,0.089579626917839,0.1219509094953537,0.1496773213148117,0.1684027314186096,0.1651338338851928,0.0843593403697013,0.0951703488826751,0.0664072632789611,0.1580847948789596,0.1447836011648178,0.1918649971485138,0.1128635704517364,0.085597738623619,0.1183084398508071,0.1572327017784118,0.1374080777168274,0.0646421313285827,0.2213245034217834,,0.2067911773920059,0.0685217231512069,0.1541743725538253,0.1271753907203674,0.2467400878667831,0.1144764199852943
facility,0.0532699935138225,,,,,,,,,,,,,,,0.0842222869396209,,0.0958239883184433,,0.0591134615242481,0.0667692273855209,,0.0719904005527496,0.1816216856241226,,,,,,,,,,,,,,,,,0.0898802354931831,,,0.1379817128181457,,,,,0.0676513984799385,,,0.1371301859617233,,,0.1663977801799774,0.062260590493679,,,0.0622243545949459,0.1574909389019012,,0.0794694200158119,0.1935316771268844,0.1647879183292389,0.1067727878689765,0.0915809050202369,,,,,0.0632018372416496,,,0.0970810055732727,0.1101869568228721,,,,,0.0544438622891902,0.1161881685256958,,0.1366433799266815,,0.1313188523054123,,0.106853500008583,,0.1032298728823661,,,0.0980990678071975,0.0745354816317558
adaptation_urban,0.0628633797168731,,,0.1346950531005859,0.0921008214354515,0.094858780503273,0.1358676999807357,0.1010698899626731,,0.0739728882908821,0.1762199103832245,0.1643342673778534,,0.1891156435012817,0.1170796826481819,0.141368106007576,,0.1120612695813179,0.1173994839191436,0.0938095822930336,0.1322362720966339,0.1912395060062408,0.1216906681656837,0.1691156327724456,,0.0523052848875522,0.0998849421739578,0.1619600653648376,0.1106485873460769,0.1091604530811309,0.1644580066204071,0.0818160250782966,,0.2019768208265304,0.0601538605988025,0.0867309048771858,0.082500584423542,0.07328562438488,0.1186611428856849,,0.1350487619638443,0.1343757808208465,0.1854770183563232,0.2243857383728027,0.1065431758761406,0.1254963129758834,0.1454486101865768,0.0564579516649246,0.3472351729869842,0.1744700521230697,0.2593026459217071,0.215888500213623,0.1468424797058105,0.1690421402454376,0.1372895091772079,0.1190754175186157,,0.091043047606945,0.2656845450401306,0.1180271506309509,0.1458194851875305,0.1953551173210144,0.0981460139155387,0.2789840698242187,0.0922251269221305,0.1867695748805999,0.1901038438081741,0.1091000735759735,0.0869763195514679,0.1979088187217712,0.0836769267916679,0.0594512447714805,0.085978128015995,0.1451397836208343,0.077407993376255,0.1644580513238906,0.1719443351030349,0.1388558000326156,0.1575200259685516,,0.085597738623619,,0.1672024130821228,0.0534130707383155,0.1016579642891883,0.1157829985022544,0.251229465007782,0.1405500620603561,0.2341747134923935,0.1541743725538253,0.1662279963493347,0.1817988455295562,
urban_life,,,,,,,0.053860604763031,0.1774021983146667,0.2847034037113189,,0.0840457379817962,,0.1619969457387924,0.1891156435012817,0.1591537296772003,0.0794113501906395,,,0.0580856762826442,0.2160079330205917,,,,0.133084163069725,,0.0514090918004512,0.0998849421739578,0.1619600653648376,0.1106485873460769,0.1091604530811309,0.094017170369625,,,0.1704179495573043,,,0.1632186770439148,,,,0.0900015011429786,0.1930134892463684,,0.1769857406616211,0.0807715058326721,,,0.1516587287187576,0.1304367780685424,0.0666339471936225,0.2593026459217071,0.215888500213623,0.1102409735321998,0.0852933451533317,,0.1203469336032867,0.0944385379552841,0.0699571743607521,0.2656845450401306,0.0755939558148384,0.1458194851875305,0.1953551173210144,0.0981460139155387,0.2789840698242187,0.1655680984258651,0.1727497577667236,0.1048591583967208,0.0908974036574363,0.1185899227857589,0.0756165832281112,0.100119799375534,0.0598903447389602,0.069337323307991,0.1005216985940933,0.1528864204883575,,0.1748437583446502,0.191049113869667,,0.1607330739498138,0.1436135172843933,0.2362500578165054,0.1043782532215118,,0.1113719493150711,0.1229558512568473,0.0701667442917823,,,0.2101692110300064,0.1442204266786575,0.2204887121915817,0.2147984355688095
urban_environment,,0.1513168513774871,0.1272358894348144,0.0990852043032646,,,0.0841447710990905,0.0653745457530021,0.1197145283222198,0.1587265133857727,0.1033100634813308,,,0.1891156435012817,0.0609432719647884,0.0734248608350753,0.1662497222423553,,0.1265057176351547,,,0.084516242146492,0.1425390094518661,0.1538240909576416,0.066087894141674,0.2121722251176834,0.0998849421739578,0.2120929062366485,0.1443224549293518,0.1250205785036087,0.1276043206453323,0.096695601940155,0.2150200456380844,0.1388790011405944,0.128867045044899,0.1137793064117431,0.0619954913854599,,0.1367600560188293,0.1601272374391555,0.1527937054634094,0.1051848009228706,0.247574433684349,0.1769857406616211,0.0602442063391208,0.0950618535280227,0.0662370547652244,0.1355246007442474,0.1304367780685424,0.0666339471936225,0.2593026459217071,0.215888500213623,0.1144398748874664,0.0780692100524902,0.1429775655269622,0.1733791828155517,0.1516454964876175,0.2276811003684997,0.2656845450401306,0.0949665158987045,0.1829865425825119,0.2182874828577041,0.1447627246379852,0.2789840698242187,0.0930524542927742,0.1727497577667236,0.0951084941625595,0.0981985330581665,0.1047661677002906,0.1591262221336364,0.0982339456677436,0.0995886772871017,,0.0843593403697013,0.096902422606945,0.0962508618831634,0.1353478580713272,0.1979968100786209,0.1821526736021042,0.1223783567547798,0.138524055480957,0.2531608045101166,0.166297361254692,0.2073546350002288,0.2302917838096618,0.0772216841578483,0.0562568083405494,,,0.1541743725538253,0.1631424725055694,0.1259569376707077,0.1471049189567566
urban_planning,,0.1837864220142364,,0.0552763044834136,0.0737802907824516,0.1541460752487182,0.0924003645777702,,0.134823739528656,0.1190885826945304,0.144034281373024,,0.1575908958911895,0.1891156435012817,0.1101866960525512,0.2021083384752273,0.1512283086776733,0.1353829503059387,0.1221187934279441,,,0.1286560446023941,,0.133084163069725,0.1215049400925636,,0.1395400613546371,0.2336805313825607,0.1106485873460769,0.1091604530811309,0.2283365577459335,0.3253304362297058,0.1839002519845962,,,0.296499490737915,0.0509911403059959,0.2662056982517242,0.1915225535631179,0.3215249180793762,0.1350487619638443,0.1142596006393432,0.1365394592285156,0.2243857383728027,0.1088306829333305,0.0964630246162414,0.1941075772047042,0.0686501339077949,0.1304367780685424,0.0666339471936225,0.2593026459217071,0.215888500213623,0.0620065927505493,0.1629590690135955,0.0714211016893386,0.0690272748470306,0.1088662520051002,0.091043047606945,0.2656845450401306,0.1765287965536117,0.2014051973819732,0.1953551173210144,0.1991214603185653,0.2789840698242187,,0.1727497577667236,0.0999365299940109,,0.1295469403266906,0.1313240677118301,0.1205680668354034,,0.1176238730549812,0.1451397836208343,0.077407993376255,0.0537139177322387,0.0730151012539863,0.0516847483813762,,,0.085597738623619,0.1202713921666145,0.1636169403791427,0.1263776272535324,0.0687534362077713,0.1157829985022544,0.143049955368042,0.2499902844429016,0.0950571522116661,0.1541743725538253,0.1662279963493347,0.1259569376707077,0.0907254368066787
