index,occupant,compact_neighborhoods,housing_factors,citywide,suburbanization_process,urban_planning,urban_area,apartment_building,urban_infrastructure,policy_housing,building_morphology,adaptation_urban,same_neighborhood,neighborhood,neighborhood_social,apartment_residents,urban_sprawl,building_design,young_urban,neighborhood_income,old_city,housing_development,residential_neighborhood,habitat_design,neighborhood_retail,housing_quality,apartment_design,urban_green,urban_forms,effect_housing,cluster_buildings,distance_city,urban_renewal,urban_parks,historic_urban,courtyard_design,housing_communities,city_centre,neighborhood_satisfaction,green_urban,urban_living,neighborhood_characteristics,neighborhood_disorder,neighborhood_level,conventional_buildings,urban_form,neighborhood_environment,urbanization,housing_characteristics,neighborhood_planning,neighbourhood_building,urban_planners,income_neighborhoods,neighborhood_relations,megacity,suburbanization,urban_design,suburban,urban_environment,urban_cities,urban_regeneration,suburban_neighborhoods,new_city,english_housing,new_building,public_housing,urban_life,designer,city_residents,dwell,compact_city,urban_residential,urban_environments,neighborhood_impact,housing_neighborhoods,urban_walking,urbanized,effects_housing,urbanism,urban_density,urban_sites,urban_structure,neurourbanism,city_center,apartment,commodity_housing,exurban_development,facility,personal_housing,urban_settings,building,urban_spaces,urban_greenness,building_occupants,dweller,housing,urban_hukou,company_housing,ses_neighborhoods,neighborhood_built,neighborhood_appreciation
green_building,0.1273400485515594,0.2617479264736175,0.2664370536804199,0.1312747746706009,0.1637968569993972,0.1874389201402664,0.0657225772738456,0.0711243525147438,0.0506466887891292,0.1460361033678054,0.0922300517559051,0.0657390430569648,0.136696457862854,,0.1520681232213974,0.1277628093957901,0.0766931697726249,0.2602798640727997,0.084714837372303,0.1096271574497222,0.2390135526657104,,0.2075879871845245,0.1385055631399154,0.1302264034748077,0.3021460473537445,0.2094083428382873,0.2165773063898086,0.2039007097482681,,0.1357610523700714,0.1542606204748153,0.2252271622419357,,0.1231728643178939,0.114878311753273,0.1915681511163711,0.1830963492393493,0.0737058222293853,0.078962966799736,0.1567931473255157,0.0545297265052795,0.162330761551857,0.1075357124209404,0.2719969451427459,0.0663288235664367,0.1109526753425598,0.1077995970845222,0.0844172537326812,0.1910405308008194,0.082375593483448,0.1421591192483902,0.13176329433918,,,0.1787445396184921,0.0703518241643905,0.0767711326479911,0.1784951835870742,0.0728082880377769,0.2170919626951217,0.0809633135795593,0.0571731999516487,0.0936431661248207,0.0713513791561126,0.1174410060048103,0.1507287472486496,0.0810621827840805,0.0861090570688247,,,,,0.1415077745914459,0.1536920368671417,0.1270415633916854,0.1681219935417175,0.0804027915000915,0.1060316413640976,0.1468564718961715,0.2971305847167969,,0.0506853833794593,0.1850402802228927,0.123257115483284,0.1924829185009002,0.0586455725133419,0.1873384863138198,0.1626049578189849,0.2339611053466797,0.2102181613445282,0.27708700299263,0.1619641184806823,,0.231948509812355,0.1064051315188407,0.1629305630922317,0.2252392619848251,0.1066532880067825,0.1615245342254638,0.0921454578638076
indoor_environmental,0.1322990506887436,0.0976345986127853,0.1924870759248733,0.1712100654840469,0.1277332901954651,0.1275013983249664,0.114191360771656,0.1619544625282287,0.1191901639103889,0.1028081476688385,0.1326643377542495,0.1222471669316291,0.0793346613645553,0.0798538848757743,0.0718123018741607,,0.1711169481277465,0.0897114053368568,,0.1395864635705948,0.1319696903228759,0.2036796361207962,0.112763226032257,0.1966695785522461,0.1847691684961319,0.1581137925386428,0.0929360687732696,0.1031946837902069,0.0996538996696472,0.1496114134788513,0.0539090670645237,0.0753158926963806,0.1611873060464859,0.0924414172768592,0.1033839136362075,0.1523457169532776,0.1311971098184585,0.1563578844070434,0.2902386486530304,0.1925300806760788,0.1616393029689788,0.1078757792711258,0.1360923498868942,0.1930613368749618,0.1691292524337768,0.2026067376136779,0.0965728312730789,0.1577200144529342,0.1832452267408371,0.13197061419487,0.30396768450737,0.1218791455030441,0.2221052944660186,0.07062928378582,0.1349560022354126,0.1591080129146576,0.052129540592432,0.1716775745153427,0.0932359620928764,0.1097810789942741,0.1579375118017196,0.1630919277667999,0.18831168115139,0.2235404402017593,0.0821410939097404,0.0678487345576286,0.0595744512975215,0.1165205240249633,0.1704896241426468,0.0961518883705139,0.0885375365614891,0.1462515443563461,0.1631744652986526,0.0813670605421066,0.1542796194553375,0.2233780324459076,0.1304128468036651,0.1562266796827316,0.1196356266736984,0.1911246180534362,0.0962413400411605,0.1014319136738777,0.1639710813760757,0.1383630931377411,0.1794943958520889,0.0651750639081001,0.1235151812434196,0.193531647324562,0.1727288961410522,0.1796814352273941,0.1104194596409797,0.1429566144943237,0.163279503583908,0.2090828716754913,0.1362690329551696,0.1547556221485138,0.1367370635271072,0.1756986379623413,0.0911145433783531,0.1421575993299484,0.1334774196147918
green_buildings,0.1273400485515594,0.2617479264736175,0.2664370536804199,0.1312747746706009,0.1637968569993972,0.1874389201402664,0.0657225772738456,0.1098440960049629,0.1463364660739898,0.1460361033678054,0.0922300517559051,0.0967041105031967,0.136696457862854,,0.1802968084812164,0.1277628093957901,0.1038678288459777,0.2602798640727997,0.1467984765768051,0.1096271574497222,0.2390135526657104,0.2813555002212524,0.2075879871845245,0.243302583694458,0.1302264034748077,0.3021460473537445,0.2094083428382873,0.2165773063898086,0.2435041964054107,0.1399590820074081,0.1357610523700714,0.1621414572000503,0.2252271622419357,,0.1231728643178939,0.114878311753273,0.1915681511163711,0.1830963492393493,0.0737058222293853,0.0950733423233032,0.1567931473255157,0.0545297265052795,0.162330761551857,0.1075357124209404,0.2719969451427459,0.1128475591540336,0.1109526753425598,0.1077995970845222,0.0844172537326812,0.1910405308008194,0.082375593483448,0.1421591192483902,0.13176329433918,,,0.1787445396184921,0.1291770786046981,0.0767711326479911,0.1784951835870742,0.097884714603424,0.2170919626951217,0.0809633135795593,0.0571731999516487,0.0936431661248207,0.0713513791561126,0.1174410060048103,0.1507287472486496,0.0810621827840805,0.1147454977035522,,,,,0.1415077745914459,0.1536920368671417,0.1270415633916854,0.1681219935417175,0.0804027915000915,0.1060316413640976,0.1468564718961715,0.2971305847167969,0.1455903053283691,0.0506853833794593,0.1850402802228927,0.123257115483284,0.1924829185009002,0.1111368313431739,0.1873384863138198,0.1626049578189849,0.2891999185085296,0.2102181613445282,0.27708700299263,0.1619641184806823,,0.231948509812355,0.1064051315188407,0.1629305630922317,0.2252392619848251,0.1066532880067825,0.1615245342254638,0.0921454578638076
environment,,0.0883589461445808,0.1592422723770141,0.1712100654840469,,0.1275013983249664,,0.0849074199795723,0.1059377491474151,,,,0.0793346613645553,0.0798538848757743,,,0.1711169481277465,0.0786771178245544,,0.1359179615974426,0.1319696903228759,,0.112763226032257,0.1966695785522461,0.1847691684961319,0.098283864557743,0.0929360687732696,0.1031946837902069,0.0593610778450965,0.1496114134788513,,0.0753158926963806,,,0.1033839136362075,0.1523457169532776,0.0864247530698776,0.1563578844070434,0.2902386486530304,,0.1616393029689788,,0.0821825414896011,0.1930613368749618,0.1213616505265235,0.2026067376136779,0.0965728312730789,0.1577200144529342,0.1832452267408371,0.13197061419487,0.1869320422410965,0.0854089334607124,,0.07062928378582,0.1349560022354126,0.1566272526979446,,,,0.1097810789942741,0.0882139280438423,0.0943286046385765,,0.2235404402017593,0.0821410939097404,0.0678487345576286,0.0554355159401893,,0.1704896241426468,0.0903598368167877,,0.0608046427369117,0.1631744652986526,0.0813670605421066,0.0963831096887588,0.1351616382598877,0.1304128468036651,,,,,0.1014319136738777,,0.1383630931377411,0.1470377892255783,0.0651750639081001,0.1235151812434196,0.0634959042072296,0.0798773318529129,0.1796814352273941,0.1104194596409797,0.057581391185522,0.0971172824501991,,0.1124117895960807,0.1547556221485138,,0.1146615967154502,0.0716978386044502,,0.0763284340500831
greenstar,,,,,0.2306896597146988,0.094606302678585,0.1895954757928848,0.1098440960049629,0.1463364660739898,,,0.0972293093800544,0.0849264040589332,0.0853594541549682,0.0787524506449699,,0.1038678288459777,0.2602798640727997,0.1467984765768051,0.2672483026981354,0.2244106233119964,0.0926626697182655,0.1111106947064399,0.243302583694458,,0.3021460473537445,0.1586212366819381,0.1186770871281623,0.1909928321838379,0.1407736837863922,,,,0.1621180772781372,0.177264004945755,0.1194198653101921,,0.1676157116889953,0.0737058222293853,0.171178713440895,0.171294555068016,0.1042866185307502,0.1284413039684295,0.1075357124209404,0.2404564917087555,0.1128475591540336,0.0845511779189109,0.0670410096645355,0.1647460609674453,0.1862286329269409,0.0833807736635208,0.1421591192483902,0.0829856619238853,,,0.0833453834056854,0.0517062507569789,,0.0602441765367984,0.097884714603424,0.1857397705316543,,0.1548130810260772,0.1544370502233505,,0.057719063013792,,,0.2329667806625366,,0.186798870563507,0.1422681510448455,0.1027094572782516,,0.0588856674730777,0.0560059957206249,0.1681219935417175,0.0804027915000915,0.2004423439502716,0.1468564718961715,0.0969145521521568,0.1455903053283691,,0.1055973693728447,0.147682175040245,0.0980086699128151,0.1111368313431739,0.2222768813371658,0.1619531065225601,0.2891999185085296,0.1304342448711395,0.1839253902435302,0.1767045706510543,,,0.0825207382440567,,,,,0.0761246681213378
physical_environment,0.0990131944417953,0.0883589461445808,0.1962603479623794,0.1712100654840469,0.2447263598442077,0.1275013983249664,,0.1098440960049629,0.1463364660739898,0.1020445749163627,0.1298595070838928,0.0967041105031967,0.1146324425935745,0.1230718195438385,0.0787524506449699,0.0538863651454448,0.1711169481277465,0.2291631549596786,0.1467984765768051,0.1359179615974426,0.1319696903228759,0.1235348433256149,0.1740373075008392,0.243302583694458,0.1847691684961319,0.098283864557743,0.186623603105545,0.1186770871281623,0.1909928321838379,0.235756367444992,0.103433072566986,0.1855915039777755,,0.069504365324974,0.1033839136362075,0.1523457169532776,0.0864247530698776,0.1563578844070434,0.2902386486530304,0.0635170042514801,0.2444131076335907,0.1534022539854049,0.0821825414896011,0.1930613368749618,0.2404564917087555,0.2026067376136779,0.0965728312730789,0.1577200144529342,0.1832452267408371,0.1862286329269409,0.1869320422410965,0.0854089334607124,0.0829856619238853,0.07062928378582,0.1349560022354126,0.1566272526979446,,,0.0682663172483444,0.1097810789942741,0.0882139280438423,0.0943286046385765,,0.2235404402017593,0.0821410939097404,0.0678487345576286,0.174848586320877,,0.1704896241426468,0.2352623492479324,0.196259468793869,0.1729933321475982,0.1631744652986526,0.0813670605421066,0.0963831096887588,0.1510048955678939,0.1304128468036651,0.1802292913198471,0.0859096869826316,,0.1002604067325592,0.1455903053283691,,0.1454217433929443,0.1470377892255783,0.0651750639081001,0.1235151812434196,0.1120279803872108,0.1619531065225601,0.2891999185085296,0.1104194596409797,0.057581391185522,0.196076363325119,,0.1124117895960807,0.1547556221485138,0.0927876830101013,0.1146615967154502,0.1281380951404571,,0.162453293800354
air_quality,0.2142678648233413,0.103359155356884,0.1204917505383491,0.1312747746706009,0.1028301790356636,0.2056928426027298,0.1437239348888397,0.0789458751678466,,0.1546503752470016,0.0794176086783409,0.1390439718961715,0.0883612930774688,0.2387698888778686,0.1520681232213974,0.1115570142865181,0.0849291756749153,0.1017500683665275,0.1775564402341842,0.1093419045209884,0.2390135526657104,0.1806838810443878,0.1684285849332809,0.2103087157011032,0.0515061877667903,,,0.1077916771173477,0.2039007097482681,,,0.0674734786152839,0.1180919781327247,0.0800791382789611,0.1224384754896164,0.0760581120848655,0.1412685364484787,,0.1484815627336502,0.1219526454806327,0.1161659061908721,,0.1144028529524803,0.0863263085484504,0.0743379965424537,,0.0795993581414222,0.1077995970845222,0.0568308643996715,0.1910405308008194,0.1366568654775619,,0.0906757190823555,,0.1515516191720962,,0.0842068493366241,,0.163142442703247,,0.1107446253299713,0.1154308393597602,0.1681795567274093,0.0641242489218711,,0.0630641505122184,0.1507287472486496,,0.0929388105869293,0.0510317906737327,,0.0797492489218711,,0.1897905468940735,0.1200155019760131,0.1270415633916854,,0.2142392694950103,0.1060316413640976,0.0935990139842033,0.0830375626683235,,,0.1850402802228927,0.1146842688322067,,0.0880797132849693,0.1863493621349334,0.1769582778215408,0.0715578719973564,0.1271753907203674,,0.1828941106796264,0.1614872217178344,0.135887786746025,0.1064051315188407,0.1287058293819427,0.1830062419176101,0.1003679931163787,0.1615245342254638,
energy,,,,,0.104288674890995,,0.0988039448857307,,0.0786688923835754,,,0.1134791672229766,,,,0.056421123445034,0.0620311871170997,,,0.0832128003239631,0.1038272082805633,,,,0.0955055207014083,,,,0.0519748404622077,,0.0914407819509506,,,,0.1402650773525238,,,,,0.0831286609172821,,,,,,0.060672078281641,,0.1547819674015045,,,,,,0.0944735184311866,,,,,,,,,,,,,0.1054031625390052,0.0624123364686965,,,,,0.0527771487832069,,,,,,,,,,0.0634293928742408,0.2285523861646652,,,0.1326828449964523,0.1647879034280777,0.125107392668724,0.1267877519130706,,0.0668031871318817,,,0.0833900719881057,0.2374745309352874,,,,,
environmental,0.1322990506887436,0.0976345986127853,0.1924870759248733,0.1712100654840469,0.1255156695842743,0.1275013983249664,0.114191360771656,0.1619544625282287,0.1059377491474151,0.1028081476688385,0.1326643377542495,,0.0793346613645553,0.0798538848757743,0.0695676058530807,,0.1711169481277465,0.0897114053368568,,0.1395864635705948,0.1319696903228759,,0.112763226032257,0.1966695785522461,0.1847691684961319,0.098283864557743,0.0929360687732696,0.1031946837902069,0.0996538996696472,0.1496114134788513,0.0539090670645237,0.0753158926963806,0.1298210173845291,0.0924414172768592,0.1033839136362075,0.1523457169532776,0.1250243186950683,0.1563578844070434,0.2902386486530304,0.1925300806760788,0.1616393029689788,0.1078757792711258,0.1360923498868942,0.1930613368749618,0.1213616505265235,0.2026067376136779,0.0965728312730789,0.1577200144529342,0.1832452267408371,0.13197061419487,0.30396768450737,0.1218791455030441,,0.07062928378582,0.1349560022354126,0.1566272526979446,0.052129540592432,0.0876387134194374,0.0932359620928764,0.1097810789942741,0.0882139280438423,0.0943286046385765,0.18831168115139,0.2235404402017593,0.0821410939097404,0.0678487345576286,0.0595744512975215,,0.1704896241426468,0.0961518883705139,0.0885375365614891,0.0608046427369117,0.1631744652986526,0.0813670605421066,0.0963831096887588,0.1351616382598877,0.1304128468036651,,,,0.0574260614812374,0.1014319136738777,,0.1383630931377411,0.1470377892255783,0.0651750639081001,0.1235151812434196,0.193531647324562,0.1727288961410522,0.1796814352273941,0.1104194596409797,0.1429566144943237,0.0971172824501991,0.0804882049560546,0.1124117895960807,0.1547556221485138,,0.1146615967154502,0.0911145433783531,,0.1334774196147918
ventilation,0.0907433107495307,0.1384910196065902,0.1789784580469131,,0.2690610289573669,0.0502893216907978,0.0646218582987785,,,,0.0513426773250103,,0.0955577418208122,,,,,,,0.0864290222525596,0.0825342312455177,,0.2515293955802917,0.1890859156847,,,,,,,,,,,,0.0706745088100433,,0.1732680648565292,,0.1413918286561966,,,,,,0.0595658980309963,,0.2217695713043213,0.1027036756277084,,,,,,,0.1977406442165374,0.0708642750978469,,,,0.1698843240737915,0.0841031670570373,,,,,,,,,0.1866197437047958,0.0783124193549156,,,,,,0.187467336654663,0.0660107061266899,,0.1545575708150863,0.0614358074963092,,0.1508634388446808,0.088920384645462,0.0940047726035118,0.0734048634767532,0.1379816979169845,,,0.1023861691355705,,0.1011506915092468,,0.1855997592210769,0.1439336985349655,,,,,
