index,occupant,compact_neighborhoods,housing_factors,citywide,suburbanization_process,urban_planning,urban_area,apartment_building,urban_infrastructure,policy_housing,building_morphology,adaptation_urban,same_neighborhood,neighborhood,neighborhood_social,apartment_residents,urban_sprawl,building_design,young_urban,neighborhood_income,old_city,housing_development,residential_neighborhood,habitat_design,neighborhood_retail,housing_quality,apartment_design,urban_green,urban_forms,effect_housing,cluster_buildings,distance_city,urban_renewal,urban_parks,historic_urban,courtyard_design,housing_communities,city_centre,neighborhood_satisfaction,green_urban,urban_living,neighborhood_characteristics,neighborhood_disorder,neighborhood_level,conventional_buildings,urban_form,neighborhood_environment,urbanization,housing_characteristics,neighborhood_planning,neighbourhood_building,urban_planners,income_neighborhoods,neighborhood_relations,megacity,suburbanization,urban_design,suburban,urban_environment,urban_cities,urban_regeneration,suburban_neighborhoods,new_city,english_housing,new_building,public_housing,urban_life,designer,city_residents,dwell,compact_city,urban_residential,urban_environments,neighborhood_impact,housing_neighborhoods,urban_walking,urbanized,effects_housing,urbanism,urban_density,urban_sites,urban_structure,neurourbanism,city_center,apartment,commodity_housing,exurban_development,facility,personal_housing,urban_settings,building,urban_spaces,urban_greenness,building_occupants,dweller,housing,urban_hukou,company_housing,ses_neighborhoods,neighborhood_built,neighborhood_appreciation
psychological_wellbeing,0.0918824076652526,0.2296084612607956,0.2664370536804199,0.1219616085290908,0.2447263598442077,0.1874389201402664,0.1494444012641906,0.1098440960049629,0.1463364660739898,0.064679704606533,0.2007080316543579,0.2839325070381164,0.1943969279527664,0.3011546432971954,0.2729853689670563,0.1710458099842071,0.139590173959732,0.2291631549596786,0.1691614985466003,0.1937811821699142,0.1828674226999282,0.1496528685092926,0.1627503782510757,0.243302583694458,0.1430551558732986,0.0876560136675834,0.2039330899715423,0.1186770871281623,0.2012423723936081,0.1924091130495071,0.0641154572367668,0.162422776222229,0.1026105135679245,0.0687798261642456,0.1417315602302551,0.087899625301361,0.1181647107005119,0.1075786054134368,,0.1748549342155456,0.2444131076335907,0.2901973128318786,0.1869546025991439,0.14156174659729,0.2404564917087555,0.2004373520612716,0.1325237601995468,0.1346770972013473,0.1578182727098465,0.1862286329269409,0.2171971350908279,0.079594112932682,0.2079682201147079,0.1708741337060928,0.1899680495262146,0.1562610268592834,0.1210920587182045,0.1301493793725967,0.1956812739372253,0.1327817142009735,0.2883710265159607,0.240938514471054,0.0923894867300987,0.1358618885278701,0.2389780580997467,0.2780443429946899,0.2539927065372467,,0.1270766854286193,0.2423041015863418,0.196259468793869,0.2169483304023742,0.2813017666339874,0.1114788278937339,0.1462049931287765,0.0857156440615654,0.1531495302915573,0.1802292913198471,0.1273624897003173,0.1160107254981994,0.1906871795654297,0.2049285918474197,0.1015656739473342,0.2122482657432556,0.2637573480606079,0.0649544298648834,0.1111368313431739,0.1566196084022522,0.1646088510751724,0.2891999185085296,,0.1601946353912353,0.1221726089715957,,0.1652407050132751,0.2063464820384979,0.2008273303508758,0.1311569809913635,0.1281380951404571,0.1442928165197372,0.0914305299520492
wellbeing,0.0571646578609943,0.2296084612607956,0.2664370536804199,0.0764912441372871,0.0687105655670166,0.1874389201402664,,0.0711243525147438,0.0506023056805133,0.064679704606533,0.0922300517559051,0.2839325070381164,0.0979571938514709,0.1072290986776351,0.2729853689670563,0.1710458099842071,0.139590173959732,,0.1691614985466003,,0.1828674226999282,,,,0.1029320955276489,0.0876560136675834,0.2039330899715423,0.0903530940413475,0.2012423723936081,0.1924091130495071,0.0641154572367668,0.162422776222229,0.1026105135679245,,0.1231728643178939,,0.0675609707832336,,,,0.1567931473255157,0.0789620727300643,0.1869546025991439,0.0534607321023941,0.1348435282707214,0.1189114823937416,0.1325237601995468,,0.1578182727098465,0.1529877930879593,0.0518244616687297,0.079594112932682,0.2079682201147079,,0.053025547415018,,0.0703518241643905,0.0767711326479911,,0.1034032851457595,0.2170919626951217,0.0545258074998855,,,,,,,0.0506770350039005,0.2423041015863418,0.0997470915317535,,0.0949888452887535,0.089671716094017,0.1184530332684516,0.0857156440615654,,,,,0.1906871795654297,0.2049285918474197,,0.1121669709682464,0.2637573480606079,0.0514749735593795,0.1092448383569717,0.1373660713434219,0.1646088510751724,0.2413341552019119,,,0.1221726089715957,,0.1057170107960701,0.0946227088570594,0.2008273303508758,0.1311569809913635,0.0594224520027637,0.0957093089818954,
health,0.1202875301241874,0.0904320329427719,,0.1107316613197326,,0.1305642426013946,0.085871510207653,0.0590023919939994,,,0.076221652328968,0.0578864142298698,,0.1542897671461105,0.1465321779251098,,0.0761677548289299,,0.0847673788666725,,0.1682597547769546,,,,0.1086800247430801,0.0674720779061317,0.0516697689890861,,,0.0657144635915756,0.1946471929550171,,,0.1315740495920181,0.1257259547710418,,,0.1162698492407798,,,,0.1119489520788192,,0.2361618280410766,0.0826642289757728,0.1450969874858856,0.1270799338817596,0.1416858285665512,,0.1095883697271347,0.0695811584591865,,,0.1489355266094207,,0.0514092966914176,0.1216064319014549,,0.0686398744583129,,0.1509469300508499,,,,0.0764965116977691,0.0785373300313949,0.0958432033658027,0.1335760504007339,0.1011313796043396,0.059024479240179,,,,0.1774746924638748,0.1167683526873588,,,,,0.0578402243554592,0.0793411433696746,,,0.0503117442131042,0.0651245862245559,,0.1339061409235,,0.1127627193927764,0.147238552570343,,0.1551804095506668,0.0788173973560333,,,,,,0.1221302524209022,0.0797878578305244,0.0609605982899665
well,,,,,,0.1126921772956848,,,,,,,0.0818582475185394,0.0635615587234497,,0.1710458099842071,0.139590173959732,,0.1691614985466003,,0.155341625213623,,,,,,0.2039330899715423,,0.2012423723936081,0.1924091130495071,,0.162422776222229,,,,,,,,,0.1223293915390968,0.0789620727300643,0.0754416063427925,0.0534607321023941,,0.1189114823937416,0.1325237601995468,,0.0918164253234863,,0.0518244616687297,,,,0.053025547415018,,,,,0.1034032851457595,0.1252708584070205,0.0545258074998855,,,,,,,0.0506770350039005,0.2423041015863418,,,,0.089671716094017,,,,,,,0.1906871795654297,,,0.1121669709682464,,,0.1092448383569717,,0.1646088510751724,0.2413341552019119,,,0.1221726089715957,,,0.0946227088570594,0.0705118551850318,,,0.0957093089818954,
illness,,,0.063869684934616,0.1559683829545974,,0.094606302678585,,0.1098440960049629,0.1463364660739898,,,0.0967041105031967,,,0.0918426513671875,0.1520066261291504,0.1038678288459777,0.2291631549596786,0.1467984765768051,,0.0521247461438179,0.0926626697182655,0.0922808051109314,0.243302583694458,0.0509361177682876,0.0878553912043571,0.0521494373679161,0.1186770871281623,0.1909928321838379,0.0527907013893127,,,,,0.0540120638906955,,,,,,,,,0.1015298217535018,0.2404564917087555,0.1128475591540336,,0.0670410096645355,0.0632079243659973,0.1862286329269409,,,0.0829856619238853,,0.1477686911821365,,,0.1249296441674232,0.0705708786845207,0.097884714603424,,0.0963323786854744,,,,,,,0.1147454977035522,,0.0527183450758457,0.254660040140152,0.1242074370384216,,,,0.1953017860651016,,0.0856595113873481,,,0.1455903053283691,0.0678458288311958,0.1055973693728447,0.1088245809078216,0.0612184703350067,0.1111368313431739,0.0662787109613418,0.1619531065225601,0.2891999185085296,,,,,,,,0.0531421601772308,,0.1292298138141632,
personal_well,0.0918824076652526,0.1085612326860427,0.2361888438463211,0.0734361708164215,0.2447263598442077,0.1258520632982254,0.1045060381293296,0.1500635743141174,0.1463364660739898,,0.051022008061409,0.0967041105031967,0.118594005703926,0.3061346411705017,0.0787524506449699,0.1710458099842071,0.139590173959732,0.2291631549596786,0.1691614985466003,0.1262412667274475,0.2360448837280273,0.0926626697182655,0.1300325989723205,0.243302583694458,,0.0749013423919677,0.2039330899715423,0.1186770871281623,0.2012423723936081,0.1924091130495071,0.1333972364664077,0.162422776222229,,0.1617941111326217,,0.122931033372879,0.2827035784721374,0.1183305233716964,0.0713580623269081,0.1629965454339981,0.2444131076335907,0.1534022539854049,0.1211902499198913,0.1015298217535018,0.2404564917087555,0.1597427725791931,0.1325237601995468,0.1031525433063507,0.2074101567268371,0.1862286329269409,0.1261099576950073,0.0670918971300125,0.151288092136383,0.1156695485115051,0.1189737766981124,0.2071278691291809,0.1118482053279876,,0.0682663172483444,0.143152430653572,0.1252708584070205,0.2573626637458801,0.1003564074635505,0.0797514095902443,,,0.1627814620733261,0.0787976011633873,0.1147454977035522,0.2423041015863418,0.196259468793869,0.1729933321475982,0.1532649993896484,0.1942101866006851,0.1262357383966446,,0.1253624260425567,0.1802292913198471,0.0508306771516799,,0.1906871795654297,0.1455903053283691,,0.1121669709682464,0.1381082683801651,0.0612184703350067,0.1111368313431739,0.1120279803872108,0.1646088510751724,0.2891999185085296,,,0.1316957026720047,0.2437315285205841,0.0912343934178352,0.1187098771333694,0.1645448952913284,0.1775338351726532,0.2502915859222412,0.133423775434494,0.1154302731156349
psychological,0.0918824076652526,0.0874374583363533,0.1930132806301117,0.1219616085290908,0.2447263598442077,0.1258520632982254,0.1494444012641906,0.1098440960049629,0.1463364660739898,,,0.1896924674510955,0.1943969279527664,0.3011546432971954,0.1960885524749755,0.0538863651454448,0.1383550465106964,0.2291631549596786,0.1467984765768051,0.1637182235717773,0.068476915359497,0.0926626697182655,0.1300325989723205,0.243302583694458,,,0.1172171682119369,0.1186770871281623,0.1909928321838379,0.0875088945031166,,,0.0964342653751373,0.0687798261642456,0.0748835653066635,0.087899625301361,0.1181647107005119,0.1075786054134368,,0.1263687312602996,0.2444131076335907,0.1534022539854049,,0.121878407895565,0.2404564917087555,0.2004373520612716,,0.1346770972013473,0.0832051858305931,0.1862286329269409,0.1261099576950073,0.0567726418375968,0.0829856619238853,0.1708741337060928,0.0679200366139411,0.1238644570112228,0.1210920587182045,,0.0906441286206245,0.0982773900032043,0.2883710265159607,0.240938514471054,0.0923894867300987,0.1358618885278701,0.063321977853775,,0.2539927065372467,,0.1147454977035522,0.2352623492479324,0.196259468793869,0.2169483304023742,0.2813017666339874,0.1114788278937339,0.0730579793453216,,0.1531495302915573,0.1802292913198471,0.0545343458652496,0.1160107254981994,0.0641850158572197,0.1455903053283691,0.1015656739473342,0.1055973693728447,0.1088245809078216,0.0612184703350067,0.1111368313431739,0.1566196084022522,0.1619531065225601,0.2891999185085296,,0.1601946353912353,0.0892475098371505,,0.1652407050132751,0.2063464820384979,0.0927876830101013,,0.1281380951404571,0.1442928165197372,0.0914305299520492
depression,0.0918824076652526,0.0519857481122016,,0.0800574198365211,0.2447263598442077,0.1404941231012344,,0.1098440960049629,0.1463364660739898,,0.0639878064393997,0.0967041105031967,0.1146324425935745,,0.0864434167742729,0.2330434173345565,0.1383550465106964,0.2291631549596786,0.1467984765768051,0.1262412667274475,0.0521247461438179,0.0926626697182655,0.1300325989723205,0.243302583694458,0.0615848451852798,,0.1280223280191421,0.1278247982263565,0.1909928321838379,0.0956190153956413,0.0564330220222473,,0.0566120743751525,0.0988808944821357,,0.0939738228917121,,0.059812743216753,,,0.2444131076335907,0.1534022539854049,0.1237871944904327,0.1015298217535018,0.2404564917087555,0.1378874778747558,,0.0670410096645355,0.0632079243659973,0.1862286329269409,0.1261099576950073,,0.0829856619238853,0.0667911544442176,0.1190753281116485,0.1238644570112228,,0.1102156415581703,0.1934777200222015,0.1247264072299003,0.1675841808319091,0.1649835258722305,,,,,0.0919993743300437,0.0790316835045814,0.1147454977035522,0.2352623492479324,0.196259468793869,0.1729933321475982,,0.061169009655714,0.0730579793453216,,,0.1802292913198471,0.1307740211486816,0.0515750348567962,0.0641850158572197,0.1681398004293441,0.1332850605249405,0.1233158782124519,0.111304186284542,0.0790953561663627,0.1190394237637519,0.118706539273262,0.1619531065225601,0.2891999185085296,,,,,,,0.1226153448224067,,0.1281380951404571,0.1042192354798317,
health_crisis,0.1202875301241874,0.1765642911195755,,0.1107316613197326,0.1201193258166313,0.1305642426013946,0.085871510207653,0.1098440960049629,0.1463364660739898,0.1548261046409607,0.1953465491533279,0.2136438190937042,0.136014774441719,0.1542897671461105,0.1465321779251098,0.0831310749053955,0.1038678288459777,0.2291631549596786,0.1467984765768051,0.275966465473175,0.1682597547769546,0.0926626697182655,0.1431437134742736,0.243302583694458,0.2211796939373016,0.0674720779061317,0.0521494373679161,0.1796458214521408,0.1909928321838379,0.0911546871066093,0.1946471929550171,,0.2102363407611847,0.1315740495920181,0.1257259547710418,,,0.1162698492407798,,0.1296081095933914,,0.1119489520788192,,0.2361618280410766,0.2404564917087555,0.1450969874858856,0.1270799338817596,0.1416858285665512,0.0660722404718399,0.1862286329269409,0.1178648546338081,,0.0829856619238853,0.1489355266094207,,0.0514092966914176,0.1216064319014549,,0.0686398744583129,0.097884714603424,0.1509469300508499,0.0530791170895099,,,0.0896575525403022,0.0785373300313949,0.0958432033658027,0.1335760504007339,0.1147454977035522,0.0778470933437347,0.1602443009614944,,0.1227885857224464,0.1774746924638748,0.1167683526873588,,0.2497088462114334,,0.141756996512413,0.1652259528636932,0.0793411433696746,0.1455903053283691,0.1249345242977142,0.1387157440185547,0.1088245809078216,0.2155456393957138,0.1339061409235,0.2404790222644806,0.1619531065225601,0.2891999185085296,0.2120637595653534,0.3159623444080353,0.2447425425052642,,0.0596650652587413,,,,0.1221302524209022,0.0797878578305244,0.0609605982899665
mental_health,0.2094414234161377,0.1125509589910507,0.1924870759248733,0.1108726039528846,0.0705290511250495,0.1305642426013946,0.114191360771656,0.1619544625282287,0.1059377491474151,0.1028081476688385,0.1326643377542495,0.1773949116468429,0.2773968577384949,0.1542897671461105,0.1465321779251098,,0.0761677548289299,,0.0847673788666725,0.0923181474208831,0.1682597547769546,,0.112763226032257,0.1966695785522461,0.1086800247430801,0.0674720779061317,0.1453978866338729,0.1844510287046432,0.062647208571434,0.1496114134788513,0.1946471929550171,0.0536052733659744,,0.1417770683765411,0.1453713476657867,0.1811969429254531,0.1250243186950683,0.1162698492407798,0.0583060458302497,,0.1377842277288437,0.1119489520788192,0.061297845095396,0.2361618280410766,0.0826642289757728,0.190641239285469,0.1513524800539016,0.1416858285665512,,0.1095883697271347,0.30396768450737,,,0.1489355266094207,,0.1566272526979446,0.1216064319014549,,0.0686398744583129,0.1097810789942741,0.1509469300508499,0.0943286046385765,0.18831168115139,0.2235404402017593,0.1876489669084549,0.0785373300313949,0.0958432033658027,0.1335760504007339,0.1011313796043396,0.0961518883705139,0.0885375365614891,0.1406678259372711,0.0539143420755863,0.1774746924638748,0.1167683526873588,0.1351616382598877,,,,0.0578402243554592,0.0793411433696746,,,0.0503117442131042,0.0651245862245559,0.0651750639081001,0.1339061409235,0.1553545743227005,0.1127627193927764,0.191136822104454,,0.1551804095506668,0.0788173973560333,,,0.1551784723997116,,0.0959984064102172,0.1221302524209022,0.0797878578305244,0.0609605982899665
