index,productivity,quality,comparison,measure,rating,performance,evaluation,indicator,sleep_quality,quality_life,inequality,swb_measures,assessment,measurement,perception_quality,physiological_measures,performancebased,resilient_performance,performance_buildings,policy_performance
green_building,0.09338409453630447,0.0666024461388588,0.13880817592144012,0.11570733785629272,0.24300552904605865,0.26034462451934814,0.11542071402072906,0.2346750795841217,,0.10474471747875214,0.16511908173561096,0.08761385828256607,0.18620316684246063,0.17496594786643982,0.21792496740818024,0.1506875604391098,0.15853901207447052,0.18486164510250092,0.09367924183607101,0.14277520775794983
indoor_environmental,0.10951182246208191,0.09856266528367996,0.10033733397722244,0.16705702245235443,0.2356201708316803,0.07100936770439148,0.08292614668607712,0.1107657328248024,0.23166699707508087,0.1572866141796112,0.15922215580940247,0.23061713576316833,0.05879358947277069,0.13183417916297913,0.12406709045171738,0.1737736314535141,0.22708618640899658,0.12438562512397766,0.14079239964485168,0.06970463693141937
green_buildings,0.09338409453630447,0.0666024461388588,0.13880817592144012,0.11570733785629272,0.24300552904605865,0.26034462451934814,0.11542071402072906,0.2346750795841217,0.09591886401176453,0.15294861793518066,0.16511908173561096,0.11006341129541397,0.18620316684246063,0.17496594786643982,0.21792496740818024,0.1506875604391098,0.15853901207447052,0.18486164510250092,0.09367924183607101,0.14277520775794983
environment,,,0.0603075735270977,0.1205882877111435,0.11065802723169327,,,0.1107657328248024,,0.1572866141796112,0.14568619430065155,0.23061713576316833,0.05879358947277069,0.11612685769796371,0.05794478952884674,0.0993821769952774,0.10289316624403,,,0.06892813742160797
greenstar,0.09338409453630447,0.0666024461388588,0.07428307086229324,,0.07054150104522705,,0.11020917445421219,0.07922741770744324,0.15766365826129913,0.12150588631629944,0.16511908173561096,0.10469029098749161,0.11818486452102661,,0.19721722602844238,0.08397897332906723,,0.1837136298418045,0.07747448235750198,
physical_environment,,0.23104508221149445,0.0631641149520874,0.1205882877111435,0.11065802723169327,,0.11020917445421219,0.17595601081848145,0.13545988500118256,0.1572866141796112,0.14568619430065155,0.23061713576316833,0.10142289847135544,0.11612685769796371,0.05794478952884674,0.0993821769952774,0.10289316624403,0.14545468986034393,,0.13448023796081543
air_quality,0.18666724860668182,0.09460320323705673,0.10643041878938675,0.11400527507066727,0.24300552904605865,0.07200060039758682,,,0.09967653453350067,0.16358432173728943,0.0588730163872242,0.1686687469482422,0.08268614113330841,0.17496594786643982,0.08446996659040451,,0.15853901207447052,,,0.1352120041847229
energy,,,,,,,0.0870656967163086,,,,,,,,,,,,,
environmental,,,0.0603075735270977,0.16705702245235443,0.11065802723169327,0.07100936770439148,0.08292614668607712,0.1107657328248024,,0.1572866141796112,0.14568619430065155,0.23061713576316833,0.05879358947277069,0.11612685769796371,0.05794478952884674,0.0993821769952774,0.22708618640899658,0.12438562512397766,0.07747392356395721,0.06970463693141937
ventilation,,0.09062754362821579,0.07579059898853302,,0.05020185559988022,,0.11686312407255173,,0.08152836561203003,,,0.13435417413711548,,0.0880897119641304,,,,0.19939027726650238,,
fresh_air,0.17412139475345612,0.07141249626874924,0.06151964142918587,0.06027481332421303,0.08461301028728485,0.0702882930636406,0.11020917445421219,,0.1129579022526741,0.16358432173728943,0.10810421407222748,0.06684764474630356,0.08268614113330841,0.26237520575523376,0.11329661309719086,0.1799398958683014,,,,0.2047175019979477
air,,,,,,0.0702882930636406,,,0.09967653453350067,0.16358432173728943,,0.06684764474630356,0.08268614113330841,,,,,,,
environment_characteristics,0.13541357219219208,0.07830385118722916,0.06151964142918587,0.1205882877111435,0.12436223775148392,,0.11020917445421219,0.15458914637565613,0.09591886401176453,0.1572866141796112,0.14568619430065155,0.23061713576316833,0.08112361282110214,0.14895084500312805,0.24271629750728607,0.0993821769952774,0.10289316624403,0.13892072439193726,,0.06892813742160797
green_space,0.09338409453630447,0.23104508221149445,0.07428307086229324,,0.06692440807819366,,0.11020917445421219,0.08171924948692322,0.09591886401176453,0.08866297453641891,0.16511908173561096,0.07844093441963196,0.11818486452102661,0.05236263945698738,0.19721722602844238,0.08397897332906723,0.13189592957496643,0.11271878331899643,0.08423512428998947,0.07702137529850006
environment_relates,0.09545531123876572,0.09963619709014893,0.1141834557056427,0.16429339349269867,0.11065802723169327,0.20774412155151367,0.11020917445421219,0.17564187943935394,0.1446036398410797,0.31662923097610474,0.14568619430065155,0.23061713576316833,0.10555129498243332,0.20578482747077942,0.1442832052707672,0.0993821769952774,0.10836128890514374,,0.19808168709278107,0.06892813742160797
pollution,,0.23104508221149445,0.10643041878938675,0.11400527507066727,0.24300552904605865,0.12839531898498535,0.06172072887420654,,0.1646273285150528,,,0.07844093441963196,0.10142289847135544,0.17496594786643982,,0.12435261160135269,0.15853901207447052,0.09856194257736206,,0.1352120041847229
air_pollution,,0.23104508221149445,0.13449348509311676,0.11400527507066727,0.24300552904605865,0.12839531898498535,0.06172072887420654,,0.1646273285150528,0.16358432173728943,,0.07844093441963196,0.10142289847135544,0.17496594786643982,,0.12862123548984528,0.15853901207447052,0.1528969556093216,,0.1352120041847229
environmental_variables,0.08593185991048813,,0.06151964142918587,0.16705702245235443,0.11065802723169327,0.18493998050689697,0.11020917445421219,0.1729849874973297,0.09591886401176453,0.1572866141796112,0.14568619430065155,0.23061713576316833,0.08112361282110214,0.13881300389766693,0.13571414351463318,0.17713376879692078,0.22708618640899658,0.12438562512397766,0.12816935777664185,0.06970463693141937
pollution_data,0.17838257551193237,0.23104508221149445,0.1653011292219162,0.11400527507066727,0.24300552904605865,0.1975177824497223,0.06172072887420654,,0.1646273285150528,0.08621804416179657,0.09045378863811493,0.17308136820793152,0.13937442004680634,0.2692863345146179,0.06011999770998955,0.12435261160135269,0.15853901207447052,0.1310068666934967,0.13402315974235535,0.15637262165546417
environment_swb,,0.23115117847919464,0.11917570233345032,0.12922008335590363,0.11065802723169327,0.11586670577526093,0.11020917445421219,0.1107657328248024,0.09591886401176453,0.1572866141796112,0.14568619430065155,0.23061713576316833,0.10667569935321808,0.11612685769796371,0.05794478952884674,0.0993821769952774,0.10289316624403,0.20721109211444855,,0.06892813742160797
landscape,,0.23104508221149445,0.08325468003749847,,0.09366291761398315,,0.11020917445421219,0.19028517603874207,0.1500750035047531,0.08312081545591354,,0.07844093441963196,0.10142289847135544,,,0.11251698434352875,,0.05124262720346451,,0.07702137529850006
greener,0.09338409453630447,0.0666024461388588,0.07428307086229324,,,,0.08096490055322647,0.07922741770744324,,0.08866297453641891,0.16511908173561096,,0.11818486452102661,,0.19721722602844238,0.08397897332906723,,0.07993447780609131,0.07747448235750198,
green_infrastructure,0.11060413718223572,0.12677761912345886,0.10643041878938675,0.11400527507066727,0.24300552904605865,0.0954529196023941,0.11020917445421219,0.07922741770744324,0.10075713694095612,0.08866297453641891,0.21191416680812836,0.11571023613214493,0.11818486452102661,0.17496594786643982,0.19721722602844238,0.08397897332906723,0.16451632976531982,0.14248955249786377,0.14651939272880554,0.15270675718784332
green_interventions,0.09338409453630447,0.0666024461388588,0.07428307086229324,0.06409966200590134,,0.13428303599357605,0.11020917445421219,0.1660107672214508,0.09591886401176453,0.31422367691993713,0.16511908173561096,0.13437391817569733,0.11818486452102661,0.050030291080474854,0.19721722602844238,0.1423218846321106,0.1255023032426834,0.1340462565422058,0.07747448235750198,0.05691627413034439
green_spaces,0.2075028419494629,0.23104508221149445,0.07428307086229324,,0.09996900707483292,,0.11020917445421219,0.08171924948692322,0.09591886401176453,0.08866297453641891,0.16511908173561096,0.07844093441963196,0.11818486452102661,0.05236263945698738,0.19721722602844238,0.11659315973520279,0.13189592957496643,0.11271878331899643,0.08423512428998947,0.07702137529850006
impact_green,0.2073981761932373,0.23494671285152435,0.0780397579073906,,0.050096169114112854,0.11976484954357147,0.08096490055322647,0.07922741770744324,,0.09379733353853226,0.16511908173561096,0.20173756778240204,0.11818486452102661,0.07035510241985321,0.19721722602844238,0.08397897332906723,0.10134445875883102,0.05567857250571251,0.07747448235750198,0.16951124370098114
vegetation,,0.10395178943872452,,,0.14007268846035004,0.11082971841096878,0.09442920237779617,0.19985061883926392,0.16004519164562225,0.07663872838020325,0.12522633373737335,0.06561598181724548,,,,0.1370881348848343,,0.1102178692817688,,0.12864749133586884
green_avenues,0.13459303975105286,0.12845711410045624,0.10643041878938675,0.11400527507066727,0.24300552904605865,0.10529858618974686,0.11020917445421219,0.07922741770744324,0.09591886401176453,0.08866297453641891,0.16511908173561096,0.0594506673514843,0.11818486452102661,0.2035619467496872,0.22075936198234558,0.08397897332906723,0.15853901207447052,,0.07747448235750198,0.1352120041847229
natural_green,0.10242288559675217,0.1748686283826828,0.10643041878938675,0.11400527507066727,0.24300552904605865,0.11059931665658951,0.08096490055322647,0.07922741770744324,,0.08866297453641891,0.1760338991880417,0.0594506673514843,0.11818486452102661,0.17496594786643982,0.19721722602844238,0.08397897332906723,0.15853901207447052,,0.1298094093799591,0.1352120041847229
greenery,0.12043603509664536,0.0666024461388588,0.12526582181453705,0.0695977658033371,,,0.08096490055322647,0.07922741770744324,0.05011061206459999,0.08866297453641891,0.16511908173561096,,0.11818486452102661,0.07109643518924713,0.19721722602844238,0.08397897332906723,,0.07993447780609131,0.12382020056247711,0.10090741515159607
environment_semi,0.11631697416305542,,0.06151964142918587,0.1205882877111435,0.18934574723243713,,0.11020917445421219,0.1107657328248024,0.09591886401176453,0.21852169930934906,0.2427213490009308,0.23061713576316833,0.08112361282110214,0.11612685769796371,0.33082276582717896,0.23024731874465942,0.10289316624403,,0.11516796052455902,0.06892813742160797
urban_vegetation,,0.10395178943872452,0.10643041878938675,0.11400527507066727,0.24300552904605865,0.11082971841096878,0.09442920237779617,0.19985061883926392,0.20842312276363373,0.07663872838020325,0.12522633373737335,0.06561598181724548,,0.17496594786643982,,0.1370881348848343,0.15853901207447052,0.1102178692817688,,0.1352120041847229
greenspace,0.09338409453630447,0.23104508221149445,0.07428307086229324,,0.09356330335140228,,0.1439153552055359,0.07922741770744324,0.17901277542114258,0.08866297453641891,0.16511908173561096,0.13477970659732819,0.11818486452102661,0.05236263945698738,0.19721722602844238,0.0899219810962677,0.11156316846609116,0.11271878331899643,0.08423512428998947,0.07702137529850006
streetscape_greenness,0.13331954181194305,0.23104508221149445,0.12313814461231232,,0.16221649944782257,0.15749429166316986,0.11020917445421219,0.20899106562137604,0.19477064907550812,0.12867200374603271,0.16511908173561096,0.11365708708763123,0.12020505964756012,0.08254654705524445,0.19721722602844238,0.08397897332906723,0.1653137356042862,0.0895332545042038,0.07747448235750198,0.07702137529850006
exposure_green,0.09338409453630447,0.23104508221149445,0.10643041878938675,0.11400527507066727,0.35227808356285095,0.10593587905168533,0.11020917445421219,0.21240417659282684,0.09591886401176453,0.15328943729400635,0.16511908173561096,0.08255887031555176,0.11818486452102661,0.31809699535369873,0.19721722602844238,0.08397897332906723,0.20618842542171478,0.0991412103176117,0.3054291307926178,0.1352120041847229
greenness,0.09338409453630447,0.09288398921489716,0.07428307086229324,,,,0.11020917445421219,0.07922741770744324,0.09591886401176453,0.08866297453641891,0.16511908173561096,0.09395860880613327,0.11818486452102661,,0.19721722602844238,0.08397897332906723,0.1368435174226761,0.0895332545042038,0.07747448235750198,0.06152033805847168
