index,psychological_wellbeing,wellbeing,health,well,illness,personal_well,psychological,depression,health_crisis,mental_health,mental_wellbeing,mental,impact_mental,mental_illness,poor_mental,feel_healthy,healthy,mood,mood_disturbance,subjective_well,psychological_restoration,mental_well,human_health,health_promoting,geriatric_depression,psychophysiological_wellbeing,health_promotion,social_health,emotional_well,subjective_wellbeing,residents_mental,mental_functioning,internal_well,psychology,psychological_demands,depression_anxiety,mental_hrqol,neuropsychological,hedonic_well,individual_mental,positive_mental,person_mental,mental_disorder,mental_restoration,psychological_health,psychological_well,high_depression,determinants_depression
green_building,0.12602920830249786,0.22071869671344757,0.18659541010856628,0.1412682682275772,0.17003239691257477,0.2396816462278366,,0.09144098311662674,0.18396715819835663,0.18298043310642242,0.24439997971057892,0.12936535477638245,0.10147622227668762,0.0892394483089447,,0.09225963056087494,,0.09019847959280014,0.11341119557619095,0.13437171280384064,0.15237070620059967,0.19321808218955994,,0.17684732377529144,0.22090210020542145,,0.05605817213654518,0.08054821193218231,0.09263505041599274,0.14705893397331238,0.10626411437988281,0.07588482648134232,0.16502198576927185,0.22234399616718292,0.23211096227169037,0.08924458175897598,0.14467085897922516,0.06599100679159164,0.09436378628015518,0.1719493418931961,0.2017066478729248,0.18164362013339996,0.11687619984149933,0.11630517989397049,0.0750235989689827,0.13872617483139038,0.2588120400905609,0.16449449956417084
indoor_environmental,0.06957866996526718,0.15052606165409088,,0.18250927329063416,0.08575031161308289,0.1510895937681198,0.0811118558049202,0.06824275851249695,,0.13039562106132507,0.12826184928417206,0.07014178484678268,0.08514931052923203,0.14970436692237854,0.09333817660808563,0.1284351944923401,0.10117942094802856,0.09970282763242722,0.17682139575481415,0.1639443039894104,,0.05198566988110542,0.1886676847934723,0.11089470982551575,0.23326607048511505,0.05368504673242569,0.2461036741733551,0.10677675902843475,0.17330478131771088,0.06680793315172195,0.06003108248114586,0.16096627712249756,0.1058615893125534,0.12104485929012299,0.15392997860908508,0.1733989268541336,0.12284113466739655,0.13012956082820892,0.0674380287528038,0.07858607172966003,0.2015935778617859,0.18036474287509918,0.0549909807741642,,,0.2403825968503952,0.11687708646059036,0.11851897835731506
green_buildings,0.12602920830249786,0.22071869671344757,0.18659541010856628,0.17026914656162262,0.17003239691257477,0.2396816462278366,0.17023299634456635,0.16472899913787842,0.18396715819835663,0.18298043310642242,0.24439997971057892,0.12936535477638245,0.1277174949645996,0.2003575563430786,0.07908599078655243,0.1478232741355896,,0.09019847959280014,0.11341119557619095,0.13437171280384064,0.15237070620059967,0.19321808218955994,,0.17684732377529144,0.22090210020542145,,0.08293591439723969,0.14233864843845367,0.09263505041599274,0.14705893397331238,0.10626411437988281,0.07588482648134232,0.16502198576927185,0.22234399616718292,0.23211096227169037,0.2669204771518707,0.17688165605068207,0.06599100679159164,0.09436378628015518,0.1719493418931961,0.2017066478729248,0.2125304937362671,0.11687619984149933,0.11630517989397049,0.0750235989689827,0.13872617483139038,0.2588120400905609,0.16449449956417084
environment,,0.13632388412952423,,0.18250927329063416,,,0.07950719445943832,0.06146582216024399,,0.13039562106132507,0.12826184928417206,0.07014178484678268,,0.14970436692237854,0.0660371482372284,0.1284351944923401,0.10117942094802856,0.09970282763242722,0.17682139575481415,0.1639443039894104,,,0.1886676847934723,,0.23326607048511505,0.05368504673242569,0.2461036741733551,0.10441412031650543,0.17330478131771088,0.06680793315172195,,0.12228946387767792,,,0.12703438103199005,,0.08281378448009491,,,0.07858607172966003,0.2015935778617859,0.18036474287509918,,,,0.08293356001377106,,0.06600983440876007
greenstar,,0.09162580221891403,,0.17026914656162262,0.17003239691257477,0.13019824028015137,,0.16472899913787842,0.07396053522825241,,0.23797261714935303,0.11964070796966553,0.1277174949645996,0.11572711914777756,0.07908599078655243,0.10513380169868469,,,0.07274629920721054,0.057937610894441605,,,,0.17684732377529144,0.05388768017292023,,0.10647597163915634,0.13784760236740112,0.12530528008937836,0.12408287078142166,0.10626411437988281,0.059346992522478104,0.13090021908283234,0.12465131282806396,0.19071896374225616,0.18566109240055084,0.07581130415201187,0.09544124454259872,0.08274006843566895,,0.11444298177957535,0.18164362013339996,0.10918673127889633,0.05804484710097313,,0.05675652250647545,0.1094127669930458,
physical_environment,0.09724332392215729,0.13632388412952423,0.20452149212360382,0.18250927329063416,0.05894038826227188,0.13019824028015137,0.09812009334564209,0.17624714970588684,0.07396053522825241,0.14727815985679626,0.23631387948989868,0.10800565034151077,0.1277174949645996,0.14970436692237854,0.07908599078655243,0.1284351944923401,0.10117942094802856,0.09970282763242722,0.17682139575481415,0.1639443039894104,,0.11781647056341171,0.1886676847934723,0.09222850948572159,0.23326607048511505,0.09990688413381577,0.2461036741733551,0.19597679376602173,0.17330478131771088,0.10937568545341492,0.08424180746078491,0.12228946387767792,0.06955745071172714,0.09251604229211807,0.18186388909816742,0.10253916680812836,0.0961058959364891,0.15240348875522614,0.07060585170984268,0.1195889487862587,0.2015935778617859,0.18036474287509918,0.14357396960258484,,,0.12343159317970276,0.12250493466854095,0.06600983440876007
air_quality,0.05488032102584839,0.13819754123687744,0.07038368284702301,0.1412682682275772,0.1709483116865158,0.14755754172801971,,0.09472641348838806,0.11745624244213104,0.1794099062681198,0.09817838668823242,0.12936535477638245,0.09651461243629456,0.21353915333747864,0.17134998738765717,0.09936324506998062,0.12108010798692703,0.07613646984100342,,0.13437171280384064,0.13341014087200165,0.19321808218955994,,0.05472767353057861,,0.09536723047494888,0.2509303390979767,0.08443256467580795,,0.17052923142910004,0.09572891891002655,0.19542305171489716,0.20050954818725586,0.08419259637594223,0.06371098011732101,,,,0.08403415232896805,,0.08130043745040894,0.05811338126659393,0.19733157753944397,0.10218382626771927,0.08342307060956955,0.0917639285326004,0.15426084399223328,0.16449449956417084
energy,0.19875384867191315,,0.08628036826848984,,,0.11231586337089539,0.057136308401823044,0.17140012979507446,0.1236562579870224,0.1322050541639328,,0.11481846868991852,,,,,,,,,,0.06518837809562683,0.10128742456436157,,0.09327036887407303,,,,,0.17921419441699982,,,,,,,,,,,,,,0.19846369326114655,,,,0.1898920238018036
environmental,0.06957866996526718,0.13632388412952423,,0.18250927329063416,,,0.07950719445943832,0.06824275851249695,,0.13039562106132507,0.12826184928417206,0.07014178484678268,,0.14970436692237854,0.09333817660808563,0.1284351944923401,0.10117942094802856,0.09970282763242722,0.17682139575481415,0.1639443039894104,,0.05198566988110542,0.1886676847934723,,0.23326607048511505,0.05368504673242569,0.2461036741733551,0.10441412031650543,0.17330478131771088,0.06680793315172195,,0.12228946387767792,,,0.15392997860908508,0.1733989268541336,0.08281378448009491,0.13012956082820892,,0.07858607172966003,0.2015935778617859,0.18036474287509918,,,,0.2403825968503952,0.10398843139410019,0.06600983440876007
ventilation,0.1594383418560028,,,,,,,,0.08856517821550369,,,,,,0.05108703300356865,,0.07348961383104324,,,,0.11653623729944229,,,,,,0.12028380483388901,,0.10059118270874023,0.22517029941082,,,,,0.05315178632736206,,,,,,,,,,,,0.09068149328231812,
