index,productivity,quality,comparison,measure,rating,performance,evaluation,indicator,sleep_quality,quality_life,inequality,swb_measures,assessment,measurement,perception_quality,physiological_measures,performancebased,resilient_performance,performance_buildings,policy_performance
psychological_wellbeing,0.19717812538146973,0.23104508221149445,0.12746793031692505,0.14168579876422882,0.218511164188385,0.09873636811971664,0.16055254638195038,0.10439642518758774,0.09591886401176453,0.164004385471344,0.1630815863609314,0.10651753842830658,0.14475220441818237,0.09067029505968094,0.13355642557144165,0.13113097846508026,0.20542274415493011,0.07203037291765213,0.10185451805591583,0.20908784866333008
wellbeing,0.06377090513706207,,0.12746793031692505,0.14168579876422882,0.08586608618497849,0.09873636811971664,,0.10439642518758774,,0.164004385471344,,0.05895138531923294,0.0676092803478241,0.06007644534111023,0.13355642557144165,,0.20542274415493011,0.07203037291765213,0.09367924183607101,0.20908784866333008
health,0.17012348771095276,0.06997279077768326,0.09913273900747299,0.07452673465013504,0.17338936030864716,0.14131461083889008,,,0.11888234317302704,0.05018297955393791,,,,,,,0.06258616596460342,,,0.22406400740146637
well,,,0.12746793031692505,0.07681063562631607,0.08586608618497849,0.09873636811971664,,0.10439642518758774,,0.164004385471344,,,0.0676092803478241,,,,,,,0.20908784866333008
illness,0.1472478061914444,,0.08249123394489288,0.08088947832584381,,0.1366099715232849,0.11020917445421219,,0.09591886401176453,,,,0.10583991557359695,,,,,,0.06781641393899918,
personal_well,0.05664903298020363,0.23104508221149445,0.12746793031692505,0.1370750367641449,0.08586608618497849,0.09873636811971664,0.21077561378479004,0.10439642518758774,0.16780097782611847,0.164004385471344,,0.16252632439136505,0.10142289847135544,0.07762839645147324,0.20664849877357483,0.16516909003257751,,0.054836612194776535,0.13175220787525177,0.20908784866333008
psychological,,0.23104508221149445,0.07452404499053955,0.070525161921978,0.09372477233409882,,0.13594557344913483,,0.09591886401176453,0.10111827403306961,0.1630815863609314,0.07844093441963196,0.14475220441818237,0.09067029505968094,0.09287096560001373,0.13113097846508026,0.09524676203727722,0.05114201083779335,0.10185451805591583,0.07702137529850006
depression,0.12966910004615784,0.23104508221149445,0.06151964142918587,,,,0.13203056156635284,0.15431812405586243,0.09591886401176453,,,0.07844093441963196,0.10142289847135544,,,,,0.09060130268335342,0.062203098088502884,0.1322207897901535
health_crisis,0.17012348771095276,0.11745624989271164,0.09913273900747299,0.07452673465013504,0.17338936030864716,0.14131461083889008,0.11020917445421219,,0.11888234317302704,0.05018297955393791,,0.17016753554344177,0.14474883675575256,,,,0.06258616596460342,0.19613391160964966,0.10059051960706711,0.22406400740146637
mental_health,0.17012348771095276,0.06997279077768326,0.09913273900747299,0.16705702245235443,0.17338936030864716,0.14131461083889008,,,0.11888234317302704,0.05018297955393791,0.14568619430065155,,0.05879358947277069,0.11612685769796371,,,0.22708618640899658,0.12438562512397766,,0.22406400740146637
mental_wellbeing,0.06377090513706207,,0.12746793031692505,0.16705702245235443,0.13556207716464996,0.18796589970588684,0.05879012867808342,0.2825307250022888,,0.164004385471344,0.14568619430065155,0.05895138531923294,0.0676092803478241,0.22153250873088837,0.20416074991226196,,0.22708618640899658,0.12438562512397766,0.09367924183607101,0.20908784866333008
mental,,,,0.16705702245235443,0.11065802723169327,,,,,,0.14568619430065155,,0.05879358947277069,0.11612685769796371,,,0.22708618640899658,0.12438562512397766,,0.06892813742160797
