index,green_building,indoor_environmental,green_buildings,environment,greenstar,physical_environment,air_quality,energy,environmental,ventilation,fresh_air,air,environment_characteristics,green_space,environment_relates,pollution,air_pollution,environmental_variables,pollution_data,environment_swb,landscape,greener,green_infrastructure,green_interventions,green_spaces,impact_green,vegetation,green_avenues,natural_green,greenery,environment_semi,urban_vegetation,greenspace,streetscape_greenness,exposure_green,greenness,green_environments,historic_environments,natural_environments,green_modern,microclimate,natural_environment,exercise_environment,environmental_stressors,sunlight,road_environment,microclimate_environments,environment_elements,social_environment,environment_work,work_environment,green_areas,humidity,personal_environmental,home_environment,different_environments,environment_specific,technological_environmental,technologicalenvironmental,human_environmental,retail_environment,environment_aspects,greenery_sky,environmental_category,climate,environmental_factors,stagnant_air,environment_design,environment_physical,overall_environmental,environmental_aesthetics,environment_features,living_environment,greenspaces,environmental_degradation,environment_factors,related_air,green_exposure,vegetation_coverage,view_green,environment_assessments,human_environment,green_coverage,campus_environments,campus_environment,landscape_design,restorative_environment,restorative_environments,therapeutic_landscape,environment_airports,environmental_exposures,natural_environmental,environment_variables
conventional_buildings,0.19992075860500336,0.15417437255382538,0.17199687659740448,0.12023722380399704,0.10883068293333054,0.10916045308113098,0.12717539072036743,0.27898406982421875,0.19912146031856537,0.1769857406616211,0.07326783984899521,0.29649949073791504,0.0697069838643074,0.3215249180793762,,0.15297088027000427,0.08224160969257355,0.23364700376987457,0.2754307985305786,0.12593643367290497,0.06290414184331894,,0.11064858734607697,0.1367500275373459,,0.14988425374031067,0.24436655640602112,0.15577590465545654,0.08435934036970139,0.17965495586395264,0.0792725682258606,0.20032665133476257,0.17213992774486542,0.15122830867767334,0.10156767070293427,0.20679117739200592,0.11447641998529434,0.1101895272731781,0.09051254391670227,0.3317469358444214,0.14466752111911774,0.1219509094953537,,,0.11830843985080719,0.1869078278541565,0.08142522722482681,0.15808479487895966,0.08957962691783905,,0.1499129682779312,0.13545706868171692,0.18718533217906952,0.21616625785827637,0.08302103728055954,0.09517034888267517,0.3035127818584442,0.1059652715921402,0.06464213132858276,0.16937191784381866,0.20210833847522736,,0.0861462876200676,0.2656845450401306,0.06591744720935822,0.16437281668186188,0.08851897716522217,0.10967111587524414,0.13043677806854248,0.17066945135593414,0.1953551173210144,0.07194102555513382,0.20661692321300507,0.1756492704153061,0.07831265777349472,0.17469200491905212,0.11175933480262756,0.21588850021362305,0.19871288537979126,0.13380126655101776,0.16396531462669373,0.1918649971485138,0.08637569844722748,0.11059698462486267,0.09914498031139374,0.07559395581483841,0.15941177308559418,0.08785588294267654,0.17274975776672363,0.2346561849117279,0.06352873891592026,0.08526954799890518,0.09723227471113205
building,0.19992075860500336,0.15417437255382538,0.17199687659740448,0.12023722380399704,0.10883068293333054,0.10916045308113098,0.12717539072036743,0.27898406982421875,0.19912146031856537,0.1769857406616211,0.07326783984899521,0.29649949073791504,0.0697069838643074,0.3215249180793762,,,0.08224160969257355,0.23364700376987457,0.2754307985305786,0.12593643367290497,,,0.11064858734607697,0.1367500275373459,,0.14988425374031067,0.20813679695129395,0.15577590465545654,0.08435934036970139,0.11005284637212753,0.0792725682258606,,0.09646302461624146,0.15122830867767334,,0.20679117739200592,0.11447641998529434,0.1101895272731781,0.09051254391670227,0.10017404705286026,0.14466752111911774,0.1219509094953537,,,0.11830843985080719,0.1869078278541565,,0.15808479487895966,0.08957962691783905,,0.1499129682779312,0.10205128788948059,0.18718533217906952,0.21616625785827637,0.06852172315120697,0.09517034888267517,0.3035127818584442,0.1059652715921402,0.06464213132858276,0.16937191784381866,0.20210833847522736,,,0.2656845450401306,,,0.06755474209785461,0.08215704560279846,0.13043677806854248,0.07527471333742142,0.1953551173210144,,0.16148290038108826,,0.07831265777349472,0.16196006536483765,0.11037294566631317,0.21588850021362305,0.19871288537979126,0.057618360966444016,0.16396531462669373,0.1918649971485138,0.08637569844722748,0.10434415191411972,0.08559773862361908,0.07559395581483841,0.15941177308559418,,0.17274975776672363,0.2346561849117279,0.06352873891592026,0.08526954799890518,0.09723227471113205
building_occupants,0.19992075860500336,0.20908287167549133,0.17199687659740448,0.12023722380399704,0.10883068293333054,0.10916045308113098,0.16622799634933472,0.27898406982421875,0.19912146031856537,0.22438573837280273,0.12666256725788116,0.29649949073791504,0.0697069838643074,0.3215249180793762,0.1359735131263733,0.15297088027000427,0.08665462583303452,0.23364700376987457,0.2754307985305786,0.12593643367290497,0.1453491747379303,0.09423880279064178,0.11064858734607697,0.15984557569026947,,0.14988425374031067,0.20813679695129395,0.15577590465545654,0.22916430234909058,0.11005284637212753,0.08321799337863922,0.09335970133543015,0.17213992774486542,0.15122830867767334,0.24210719764232635,0.22342701256275177,0.11447641998529434,0.1101895272731781,0.09051254391670227,0.10017404705286026,0.14466752111911774,0.19656425714492798,,0.11679030954837799,0.11830843985080719,0.1869078278541565,0.08523695915937424,0.15808479487895966,0.08957962691783905,0.06805334985256195,0.1499129682779312,0.13545706868171692,0.18718533217906952,0.21616625785827637,0.2260023057460785,0.09517034888267517,0.3035127818584442,0.1059652715921402,0.09210436791181564,0.16937191784381866,0.20210833847522736,0.07075780630111694,,0.2656845450401306,0.16195477545261383,0.16437281668186188,0.06892615556716919,0.08215704560279846,0.13043677806854248,0.17066945135593414,0.1953551173210144,0.07194102555513382,0.20661692321300507,0.07430291920900345,0.12134922295808792,0.17469200491905212,0.11175933480262756,0.21588850021362305,0.19871288537979126,0.13380126655101776,0.21861247718334198,0.1918649971485138,0.08637569844722748,0.10469391942024231,0.1530243456363678,0.1062677875161171,0.15941177308559418,,0.17274975776672363,0.2346561849117279,0.09485878050327301,0.09058001637458801,0.16361694037914276
occupant,0.12734003365039825,0.15417437255382538,,0.09988494217395782,0.1065431758761406,0.10916045308113098,0.16622799634933472,0.27898406982421875,0.09814601391553879,0.22438573837280273,0.12666256725788116,0.08406812697649002,,,0.09906304627656937,,0.08665462583303452,0.09402455389499664,0.261318564414978,0.06663394719362259,0.08559206128120422,0.09423880279064178,0.11064858734607697,0.15984557569026947,,0.1259569376707077,,0.06695254147052765,0.14513978362083435,0.07555874437093735,,,,,,0.22342701256275177,,,,0.07328562438488007,0.11578299850225449,0.19656425714492798,,0.11679030954837799,,,0.08523695915937424,0.0701020136475563,,0.06290272623300552,0.14581948518753052,0.1350487619638443,,,0.09505715221166611,0.07740799337625504,,0.06715693324804306,0.09210436791181564,0.06902727484703064,0.160895437002182,0.07075780630111694,,0.2656845450401306,0.16195477545261383,0.07066531479358673,,,0.13043677806854248,0.05771809443831444,0.1953551173210144,,,,,0.16196006536483765,,0.21588850021362305,0.13308416306972504,,,,,,0.1530243456363678,0.08998880535364151,0.09777937084436417,,0.17274975776672363,0.18911564350128174,0.09485878050327301,,0.16361694037914276
building_design,0.19992075860500336,0.15417437255382538,0.17199687659740448,0.12023722380399704,0.10883068293333054,0.10916045308113098,0.12717539072036743,0.27898406982421875,0.19912146031856537,0.1769857406616211,0.09444691985845566,0.29649949073791504,0.0697069838643074,0.3215249180793762,,0.15297088027000427,0.08224160969257355,0.23364700376987457,0.2754307985305786,0.12593643367290497,,,0.11064858734607697,0.1367500275373459,0.12368100881576538,0.24674008786678314,0.20813679695129395,0.15577590465545654,0.08435934036970139,0.11005284637212753,0.1374080777168274,0.09335970133543015,0.17213992774486542,0.17098604142665863,0.06640726327896118,0.20679117739200592,0.11447641998529434,0.144513800740242,0.1748911589384079,0.10017404705286026,0.22132450342178345,0.1219509094953537,0.15916143357753754,0.1447836011648178,0.11830843985080719,0.1869078278541565,,0.15808479487895966,0.08957962691783905,0.16840273141860962,0.1499129682779312,0.13602478802204132,0.18718533217906952,0.21616625785827637,0.06852172315120697,0.09517034888267517,0.3035127818584442,0.1059652715921402,0.06464213132858276,0.16937191784381866,0.20210833847522736,0.11286357045173645,0.09649161249399185,0.2656845450401306,0.1496773213148117,0.16437281668186188,0.08785289525985718,0.0993645191192627,0.13043677806854248,0.23727962374687195,0.1953551173210144,0.1140412762761116,0.20661692321300507,0.16513383388519287,0.09138168394565582,0.17469200491905212,0.25527289509773254,0.21588850021362305,0.19871288537979126,0.19577139616012573,0.16396531462669373,0.1918649971485138,0.08637569844722748,0.10469391942024231,0.08559773862361908,0.07559395581483841,0.15941177308559418,,0.17274975776672363,0.2346561849117279,0.19607354700565338,0.2314876914024353,0.15723270177841187
facility,,,0.07199040055274963,,,,,0.1647879183292389,0.19353167712688446,0.13798171281814575,,,,,0.10685350000858307,,,0.053269993513822556,,,,,,,0.05911346152424812,0.09809906780719757,,,0.0970810055732727,,,,,,,,0.07453548163175583,,,,,,,,,,,,,,,0.08988023549318314,,,0.10322987288236618,0.11018695682287216,,,0.1313188523054123,0.06226059049367905,0.08422228693962097,0.05444386228919029,,0.06222435459494591,0.06320183724164963,,,,0.06765139847993851,,0.07946942001581192,,,,,,0.0958239883184433,0.13713018596172333,0.18162168562412262,,,,0.16639778017997742,,0.1161881685256958,0.15749093890190125,0.06676922738552094,0.10677278786897659,0.09158090502023697,,,,0.13664337992668152
adaptation_urban,0.19010384380817413,0.15417437255382538,0.12169066816568375,0.09988494217395782,0.1065431758761406,0.10916045308113098,0.16622799634933472,0.27898406982421875,0.09814601391553879,0.22438573837280273,0.13437578082084656,0.08673090487718582,0.07397288829088211,,0.251229465007782,0.13469505310058594,0.11866114288568497,0.06286337971687317,0.25930264592170715,0.17447005212306976,,0.09104304760694504,0.11064858734607697,0.08250058442354202,0.0938095822930336,0.18179884552955627,,0.11739948391914368,0.14513978362083435,,0.05341307073831558,0.1643342673778534,0.12549631297588348,,0.16445805132389069,0.14055006206035614,,0.08181602507829666,0.05230528488755226,0.07328562438488007,0.11578299850225449,0.19790881872177124,0.10910007357597351,0.13885580003261566,,0.19123950600624084,0.05645795166492462,0.17194433510303497,0.0869763195514679,0.05945124477148056,0.14581948518753052,0.1350487619638443,0.14684247970581055,0.16904214024543762,0.2341747134923935,0.07740799337625504,0.10106988996267319,0.18547701835632324,0.10165796428918839,0.11907541751861572,0.141368106007576,,0.20197682082653046,0.2656845450401306,0.08367692679166794,0.09210082143545151,,0.060153860598802567,0.34723517298698425,0.1762199103832245,0.1953551173210144,,,0.08597812801599503,0.1644580066204071,0.16196006536483765,0.1120612695813179,0.21588850021362305,0.16911563277244568,0.11707968264818192,0.13586769998073578,0.15752002596855164,0.13728950917720795,,0.08559773862361908,0.11802715063095093,0.1322362720966339,0.09222512692213058,0.18676957488059998,0.18911564350128174,0.09485878050327301,0.14544861018657684,0.1672024130821228
urban_life,0.10485915839672089,0.2101692110300064,,0.09988494217395782,0.08077150583267212,0.10916045308113098,0.14422042667865753,0.27898406982421875,0.09814601391553879,0.1769857406616211,0.1930134892463684,,,,0.07016674429178238,,,,0.25930264592170715,0.06663394719362259,0.09443853795528412,0.0699571743607521,0.11064858734607697,0.1632186770439148,0.21600793302059174,0.22048871219158173,,0.05808567628264427,0.10052169859409332,0.16199694573879242,,,,,,,0.2147984355688095,,0.05140909180045128,,0.12295585125684738,0.07561658322811127,0.09089740365743637,0.19104911386966705,0.23625005781650543,,0.15165872871875763,0.17484375834465027,0.11858992278575897,0.059890344738960266,0.14581948518753052,0.09000150114297867,0.11024097353219986,0.08529334515333176,,0.15288642048835754,0.17740219831466675,,0.1113719493150711,0.12034693360328674,0.0794113501906395,0.16073307394981384,0.17041794955730438,0.2656845450401306,0.10011979937553406,,,,0.13043677806854248,0.08404573798179626,0.1953551173210144,0.28470340371131897,,0.06933732330799103,0.09401717036962509,0.16196006536483765,,0.21588850021362305,0.13308416306972504,0.15915372967720032,0.053860604763031006,,,,0.1436135172843933,0.07559395581483841,,0.16556809842586517,0.17274975776672363,0.18911564350128174,,,0.10437825322151184
urban_environment,0.09510849416255951,0.15417437255382538,0.14253900945186615,0.09988494217395782,0.060244206339120865,0.1250205785036087,0.16314247250556946,0.27898406982421875,0.14476272463798523,0.1769857406616211,0.10518480092287064,0.11377930641174316,0.1587265133857727,0.16012723743915558,0.05625680834054947,0.09908520430326462,0.13676005601882935,,0.25930264592170715,0.06663394719362259,0.1516454964876175,0.22768110036849976,0.1443224549293518,0.0619954913854599,,0.1259569376707077,0.06608789414167404,0.12650571763515472,0.08435934036970139,,0.20735463500022888,,0.09506185352802277,0.16624972224235535,0.09625086188316345,,0.1471049189567566,0.09669560194015503,0.2121722251176834,,0.07722168415784836,0.15912622213363647,0.0981985330581665,0.1979968100786209,0.2531608045101166,0.084516242146492,0.13552460074424744,0.1353478580713272,0.10476616770029068,0.09958867728710175,0.1829865425825119,0.15279370546340942,0.11443987488746643,0.07806921005249023,,0.09690242260694504,0.06537454575300217,0.24757443368434906,0.23029178380966187,0.17337918281555176,0.07342486083507538,0.12237835675477982,0.13887900114059448,0.2656845450401306,0.09823394566774368,,0.12723588943481445,0.128867045044899,0.13043677806854248,0.10331006348133087,0.21828748285770416,0.11971452832221985,0.2150200456380844,,0.12760432064533234,0.21209290623664856,,0.21588850021362305,0.1538240909576416,0.06094327196478844,0.08414477109909058,0.1821526736021042,0.14297756552696228,0.15131685137748718,0.13852405548095703,0.09496651589870453,,0.0930524542927742,0.17274975776672363,0.18911564350128174,,0.06623705476522446,0.16629736125469208
urban_planning,0.09993652999401093,0.15417437255382538,,0.13954006135463715,0.10883068293333054,0.10916045308113098,0.16622799634933472,0.27898406982421875,0.19912146031856537,0.22438573837280273,0.11425960063934326,0.29649949073791504,0.11908858269453049,0.3215249180793762,0.143049955368042,0.055276304483413696,0.19152255356311798,,0.25930264592170715,0.06663394719362259,0.10886625200510025,0.09104304760694504,0.11064858734607697,0.05099114030599594,,0.1259569376707077,0.12150494009256363,0.12211879342794418,0.14513978362083435,0.15759089589118958,0.1263776272535324,,0.09646302461624146,0.15122830867767334,0.05371391773223877,0.2499902844429016,0.09072543680667877,0.3253304362297058,,0.26620569825172424,0.11578299850225449,0.13132406771183014,,0.051684748381376266,0.12027139216661453,0.1286560446023941,0.06865013390779495,0.07301510125398636,0.12954694032669067,,0.20140519738197327,0.1350487619638443,0.062006592750549316,0.16295906901359558,0.09505715221166611,0.07740799337625504,,0.13653945922851562,0.0687534362077713,0.06902727484703064,0.20210833847522736,,,0.2656845450401306,0.12056806683540344,0.07378029078245163,,,0.13043677806854248,0.144034281373024,0.1953551173210144,0.134823739528656,0.18390025198459625,0.11762387305498123,0.22833655774593353,0.23368053138256073,0.13538295030593872,0.21588850021362305,0.13308416306972504,0.11018669605255127,0.09240036457777023,,0.07142110168933868,0.18378642201423645,0.08559773862361908,0.17652879655361176,,,0.17274975776672363,0.18911564350128174,0.15414607524871826,0.19410757720470428,0.16361694037914276
